	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXN2	FOXO3	GTF2B	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POGK	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF22	ZNF267	ZNF274	ZNF281	ZNF32	ZNF322	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A	ZNF780A
Chemokine_signaling_pathway					CCL1 CCL18 CCL2 CCR1 STAT1					CCL1 CCL18 CCL2 CCL3 CCL3L3 CCL4 CCL7 CCL8 CCR1 CCR7 CXCL3 HCK LYN NFKB1 NFKBIA PRKACB											CCL18 CCL3L3 CCL8 CXCL3 NFKB1 NFKBIA				CCL1 CCL22 CCR7 CXCL2 CXCL3 CXCR4 FGR		CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CXCL2 CXCL3 HCK NFKB1 NFKBIA			CCL22 CCL5 CCR7 NCF1 NFKBIA STAT1				CCL22 CCR7 FGR HCK LYN							CCL1 CCL15 CCL18 CCL22 CCL23 CCL3 CCL4 CCL4L2 CCL8 CXCL2 CXCL3 CXCR4 FGR GNGT2 HCK NCF1 NFKBIA PRKACB	CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL7 CCL8 CXCL2 CXCL3	CCL1 CCL15 CCL18 CCL2 CCL5 CCL7 CCL8 CCR7 HCK STAT1 STAT2		CCL22 CCL3 NFKBIA		CCL1 CCL2 CCL3 CCL4L2 CCL5 CCR1 CCR7 FGR PRKACB STAT1 STAT2		CCL3 CCL5 CCR1 PRKACB STAT1 STAT2	CCL1 CCL3 CCL3L3 CCR1					CCL2 CCL8 CCR7 CXCL2 HCK NCF1 NFKB1 NFKBIA		CCL3 CCL3L3 CCR7	CCL2 CCL20 CCL22 CCL7 CCL8 CCR1 CXCL2 CXCL3 LYN			CCL20 CCL23 CCL3 CCL4 CCR1 CCR7 CXCL2 CXCL3 FGR HCK LYN NFKBIA PRKACB	CCL15 CCL18 CCL2 CCL23 STAT1	CXCR4 PRKACB	CCL22 CCL3 CCL7 NCF1						CCL18 CCL23 CCL3 CCL5 CCL8 FGR HCK LYN NCF1 NFKB1 NFKBIA PRKACB		CCL23 CCL4 CCR7	CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCR7 FGR HCK LYN NFKB1 NFKBIA STAT1	CCL20 CCL22 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL7 CCL8 CXCL2 CXCL3 FGR HCK	CCL15 CCL18 CCL2 CCL20 CCL22 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL8 CCR1 CXCL2 NCF1 NFKBIA	CCL15 CCL18 CCL2 CCL20 CCL22 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CCR7 CXCL2 CXCL3 FGR HCK LYN NCF1 NFKB1 NFKBIA PRKACB STAT2	CCL15 CCL4L2 CCL7 NCF1		CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4L2 CCL7 CCL8 CCR1 CXCL2 FGR HCK LYN PRKACB	CCL4L2 CCL5 CCL8 CCR7 CXCL2 CXCL3 FGR HCK NCF1 NFKBIA PRKACB STAT1	CCL1 CCL2 CCL3 CCL3L3 CCL4 CCL4L2 CCR1 PRKACB	CCL20 CCL22 CCL4 CCL5 CXCL3 NFKBIA							CCL1 CCL15 CCL8 CCR7 CXCL3		CCL2 CCL3 CCL5 CCL7 CCL8 CCR7 NCF1 NFKBIA PRKACB STAT1 STAT2		CCL15 CCL18 CCL23 CCL5 CCL8 CCR1 CXCL2 FGR HCK LYN NFKBIA PRKACB		CCL2 CCL22 CCL5 CCL7 CCL8 CCR7 NCF1 NFKBIA	CCL15 CCL23 CCL3 CCL4L2		CCL18 CCL2 CCL23 CCL7 CXCL2 FGR HCK LYN NFKB1 PRKACB		CCL2 CCL22 CCL7 CCL8 CXCL3		CCL1 CCL3 CCL3L3 CCL4 CCL4L2 CXCR4			CCL18 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CXCL3 GNGT2 LYN NCF1 NFKBIA PRKACB STAT1							CCL20 CXCL3								CCL20 CCL4 CCR7 FGR HCK NCF1	CCL4L2 GNGT2 LYN NCF1 NFKBIA	CCL3 STAT2		CCL18 CCR1		
Chronic_myeloid_leukemia																CDKN1A MDM2																																								CDKN1A CDKN2A													CCND1 CDKN1A																												CDKN2A MDM2							CDKN1A CDKN2A																						
Citrate_cycle_(TCA_cycle)					IDH2 MDH1																									DLD MDH1							DLD PCK2																								IDH2 MDH1 PCK2															DLD IDH2 MDH1 PCK2			IDH2 MDH1 PCK2											DLD IDH2 MDH1			DLD IDH2 MDH1 PCK2					IDH2 MDH1 PCK2																												
Collecting_duct_acid_secretion																																ATP6V1D CA2																																																																																														
Colorectal_cancer																																																																					CCND1 CYCS																																										CYCS JUN															
Complement_and_coagulation_cascades						C3 C3AR1 CFD F3						C1QA C1QC C3AR1 C5AR1 CFD SERPING1		C2 C3 C3AR1 SERPINA1					C5AR1 PLAUR			C3 SERPINA1			C3 C3AR1 CFD F3		C1QA C1QB C1QC C2 C3AR1 CD55 PLAUR SERPINA1	C1QA C3 C5AR1 PLAUR				C3 CFD SERPING1		C3AR1 PLAUR SERPING1		C1QB C1QC					C1QA C1QB C1QC C2 C3 C3AR1 C5AR1 CFD F3 SERPINA1	C1QC C5AR1 CD55 PLAUR			C1QA C1QB C1QC C3AR1					C5AR1 F3 PLAUR				C1QC SERPING1				C1QB C1QC C3AR1 C5AR1 CFD F3	C3 C5AR1		C1QA C1QB C1QC C2 C3 C3AR1 CD55 SERPINA1	PLAUR SERPINA1						C1QA C3AR1 SERPINA1	C3AR1 F3	C1QA C1QB C1QC C2 C3 C3AR1 PLAUR SERPINA1 SERPING1				C1QA C1QB C1QC C3 C3AR1 PLAUR SERPINA1	C1QA C1QB C1QC PLAUR SERPINA1	C1QA C1QB C1QC C2 C3 C3AR1 PLAUR SERPINA1 SERPING1					C1QA C1QB C2 C3AR1 CD55 F3 SERPINA1					C1QA C1QB								C1QA C1QB C1QC CD55 SERPINA1								CD55 CFD F3 PLAUR							C1QA C3 F3																C3 C3AR1	
Cysteine_and_methionine_metabolism					LDHB SDS																IL4I1 LDHB													ADI1 IL4I1 SDS																	ADI1 LDHB SDS														ADI1 LDHA					ADI1 APIP IL4I1 SDS													ADI1 IL4I1 LDHB SDS					IL4I1 LDHB																																IL4I1 SDS						
Cytokine-cytokine_receptor_interaction	CCL2 CCL3 CCL4 CSF1R IL10RA IL2RA TNFSF12		CSF2RA CXCL2 IFNGR2 IL10RA IL18 IL1B		CCL1 CCL18 CCL2 CCR1 CD40 IFNGR2 INHBA TNFRSF21 TNFRSF4 TNFRSF9	CCL1 CCL18 CCL20 CXCL2 CXCR4 IFNGR1 IL10RA IL18 IL1B IL2RA TNFRSF1B TNFSF14				CCL1 CCL18 CCL2 CCL3 CCL3L3 CCL4 CCL7 CCL8 CCR1 CCR7 CD40 CSF1 CSF2RA CXCL3 IFNGR2 IL10RA IL15RA IL18 IL1B IL2RA IL7R INHBA					CCL1 CD40 CXCR4 IFNGR1						CCL18 CCL3L3 CCL8 CXCL3 IL18 IL1B IL3RA INHBA TNFRSF21				CCL1 CCL22 CCR7 CSF1 CXCL2 CXCL3 CXCR4 IFNGR1 IL10RA IL2RA TNFRSF12A TNFRSF1B TNFSF14		CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CSF1R CSF2RA CXCL2 CXCL3 IFNGR1 IFNGR2 IL18 IL1B IL2RA IL3RA IL7R INHBA TNFRSF21			CCL22 CCL5 CCR7 CSF1R IL10RA IL15RA IL18 IL7R TNFRSF9				CCL22 CCR7 CSF2RA IL2RA IL7R TNFRSF4 TNFSF9				CCL3 CCL4 CCL5 IL7R			CCL1 CCL15 CCL18 CCL22 CCL23 CCL3 CCL4 CCL4L2 CCL8 CSF1 CSF2RA CXCL2 CXCL3 CXCR4 FLT1 IFNGR1 IL10RA IL18 IL1B IL2RA IL7R TNFRSF12A TNFRSF18 TNFRSF1B TNFRSF21 TNFRSF9 TNFSF10 TNFSF12 TNFSF13B TNFSF14	CCL2 CCL20 CCL3 CCL3L3 CCL4 CCL7 CCL8 CXCL2 CXCL3 IL1B IL3RA INHBA	CCL1 CCL15 CCL18 CCL2 CCL5 CCL7 CCL8 CCR7 CD40 IFNGR2 IL15RA IL7R INHBA TNFRSF21 TNFRSF9 TNFSF10 TNFSF13B TNFSF14 TNFSF9		CCL22 CCL3 CSF1R IFNGR1	CCL1 CCL5 CD40 IL15RA IL7R INHBA TNFSF12 TNFSF13B	CCL1 CCL2 CCL3 CCL4L2 CCL5 CCR1 CCR7 CD40 IFNGR2 IL15RA IL2RA IL7R INHBA TNFRSF9 TNFSF10 TNFSF13B TNFSF14	CCL22 CCL5 CD40 TNFSF10 TNFSF12 TNFSF13B	CCL3 CCL5 CCR1 CD40 IFNGR2 IL15RA INHBA TNFSF10 TNFSF13B	CCL1 CCL3 CCL3L3 CCR1 CSF1 FLT1 INHBA TNFRSF12A	CCL1 CCL22 CCL7 CD40 CSF1 CXCR4 IFNGR1 INHBA TNFRSF18 TNFRSF4 TNFRSF9 TNFSF12	CCL1 CCL22 CD40 INHBA TNFRSF4	CCL4 CXCL2 CXCL3 IL1B TNFRSF12A		CCL2 CCL8 CCR7 CXCL2 IL18 IL2RA TNFRSF21			CCL2 CCL20 CCL22 CCL7 CCL8 CCR1 CSF1 CSF1R CXCL2 CXCL3 IFNGR1 TNFSF12	CCL1 CCL7 CCR7 CSF1 FLT1 TNFRSF12A TNFSF14		CCL20 CCL23 CCL3 CCL4 CCR1 CCR7 CSF1 CSF2RA CXCL2 CXCL3 FLT1 IFNGR1 IL15RA IL18 IL1B IL2RA IL7R TNFRSF12A TNFSF13B TNFSF14 TNFSF9	CCL15 CCL18 CCL2 CCL23 IFNGR2 TNFRSF4 TNFSF13B		CCL22 CCL3 CCL7 CD40 INHBA		CXCL3 IFNGR1 IL2RA		CCL22 IFNGR1 IL1B TNFSF14	CCL1 CSF1 CSF1R IFNGR1 TNFRSF12A	CCL18 CCL23 CCL3 CCL5 CCL8 CD40 CSF1R CSF2RA IFNGR1 IFNGR2 IL10RA IL15RA IL18 IL2RA IL3RA IL7R TNFRSF12A TNFRSF21 TNFRSF4 TNFSF10 TNFSF13B TNFSF14 TNFSF9		CCL23 CCL4 CCR7 IL2RA TNFSF9	CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCR7 CD40 IFNGR2 IL7R TNFRSF21 TNFRSF4 TNFSF13B TNFSF9	CCL20 CCL22 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL7 CCL8 CSF1 CXCL2 CXCL3 IFNGR1 IL10RA IL18 IL1B IL2RA RELT TNFRSF12A TNFRSF1B TNFSF14	CCL15 CCL18 CCL2 CCL20 CCL22 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL8 CCR1 CXCL2 IFNGR2 IL1B TNFRSF21	CCL15 CCL18 CCL2 CCL20 CCL22 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CCR7 CD40 CSF1R CSF2RA CXCL2 CXCL3 IFNGR1 IFNGR2 IL10RA IL15RA IL18 IL1B IL2RA IL3RA IL7R INHBA TNFRSF12A TNFRSF21 TNFRSF4 TNFSF10 TNFSF13B TNFSF14 TNFSF9	CCL15 CCL4L2 CCL7 CD40 CSF2RA IL3RA TNFRSF4 TNFSF13B		CCL15 CCL18 CCL2 CCL20 CCL23 CCL3 CCL3L3 CCL4L2 CCL7 CCL8 CCR1 CSF1R CSF2RA CXCL2 IFNGR1 IFNGR2 IL18 IL1B IL3RA IL7R INHBA RELT TNFRSF21 TNFSF13B	CCL4L2 CCL5 CCL8 CCR7 CXCL2 CXCL3 FLT1 IFNGR2 IL10RA IL15RA IL18 IL7R TNFRSF12A TNFRSF4 TNFSF10 TNFSF13B TNFSF14 TNFSF9	CCL1 CCL2 CCL3 CCL3L3 CCL4 CCL4L2 CCR1 CD40 CSF2RA IFNGR2 IL1B IL3RA INHBA	CCL20 CCL22 CCL4 CCL5 CSF1 CXCL3 TNFRSF18 TNFRSF4	CCL1 CCL23 CCL5 CD40 IFNGR2 IL18 TNFRSF18 TNFRSF4 TNFRSF9 TNFSF10 TNFSF13B TNFSF9	CCL5 CD40 TNFRSF4				CCL1 CCL7 CD40 CXCR4 IFNGR1 INHBA TNFSF10 TNFSF13B	CCL1 CCL15 CCL8 CCR7 CSF1 CXCL3 IFNGR1 IL15RA IL18 IL2RA TNFRSF1B TNFSF14	CCL1 CCL15 CCL4 CCL5 CCR7 CD40 FLT1 IFNGR2 IL15RA IL7R INHBA TNFRSF18 TNFRSF4 TNFRSF9 TNFSF10 TNFSF12 TNFSF13B	CCL2 CCL3 CCL5 CCL7 CCL8 CCR7 CD40 IL10RA IL15RA IL7R INHBA TNFSF10 TNFSF13B TNFSF9		CCL15 CCL18 CCL23 CCL5 CCL8 CCR1 CXCL2 IFNGR2 IL10RA IL18 IL1B IL2RA IL7R TNFRSF21 TNFRSF4 TNFSF14 TNFSF9	CCL20 CCL4 CXCL3 IFNGR1 IL1B IL2RA	CCL2 CCL22 CCL5 CCL7 CCL8 CCR7 IL15RA IL18 TNFRSF4 TNFSF13B	CCL15 CCL23 CCL3 CCL4L2 FLT1		CCL18 CCL2 CCL23 CCL7 CXCL2 IFNGR2 IL10RA IL1B IL2RA TNFRSF21 TNFSF14 TNFSF9	CSF1 CXCL2 TNFRSF4 TNFSF10 TNFSF9	CCL2 CCL22 CCL7 CCL8 CXCL3 IL18		CCL1 CCL3 CCL3L3 CCL4 CCL4L2 CSF1 CXCR4 IL3RA INHBA TNFRSF12A TNFRSF18			CCL18 CCL20 CCL23 CCL3 CCL3L3 CCL4 CCL4L2 CCL5 CCL8 CCR1 CXCL3 IL1B IL3RA RELT TNFSF10		CCL1 INHBA TNFRSF18 TNFRSF9 TNFSF10				CSF1 CXCL2 CXCL3 CXCR4 IFNGR1 TNFRSF12A TNFSF14	CCL20 CXCL3		CCL23 CCL5 CD40 IFNGR2 IL15RA IL7R TNFRSF4 TNFSF13B				IL18 TNFRSF21		CCL20 CCL4 CCR7 IFNGR2 IL10RA IL18 IL3RA IL7R TNFRSF4 TNFSF13B TNFSF9	CCL4L2 IFNGR2 IL15RA INHBA TNFRSF4 TNFRSF9 TNFSF12				CCL1 CSF1 CXCL2 IL18 IL2RA TNFRSF1B TNFSF14	
Cytosolic_DNA-sensing_pathway			AIM2 IL18 IL1B							CCL4 IL18 IL1B NFKB1 NFKBIA											IL18 IL1B NFKB1 NFKBIA						AIM2 CCL4 CCL4L2 CCL5 IL18 IL1B IRF7 NFKB1 NFKBIA TMEM173			AIM2 CCL5 IL18 NFKBIA							CCL5 IL1B PYCARD	CCL4 CCL5			AIM2 CCL4 CCL4L2 IL18 IL1B NFKBIA		AIM2 CASP1 CCL5 DDX58 IRF7 PYCARD TMEM173			CASP1 CCL5 DDX58 IRF7	AIM2 CASP1 CCL4L2 CCL5 DDX58 IRF7 TMEM173	CCL5 DDX58 IRF7	CASP1 CCL5 DDX58 IRF7 PYCARD				CCL4 IL1B PYCARD		IL18 NFKB1 NFKBIA															AIM2 CCL5 DDX58 IL18 NFKB1 NFKBIA			CCL4 CCL4L2 CCL5 NFKB1 NFKBIA		CCL4 CCL4L2 DDX58 IL1B IRF7 NFKBIA	AIM2 CCL4 CCL4L2 CCL5 DDX58 IL18 IL1B IRF7 NFKB1 NFKBIA PYCARD	CASP1 CCL4L2		AIM2 CCL4L2 IL18 IL1B	AIM2 CCL4L2 CCL5 DDX58 IL18 IRF7 NFKBIA PYCARD	AIM2 CCL4 CCL4L2 IL1B TMEM173	CCL4 CCL5 NFKBIA	CCL5 DDX58 IL18 IRF7 NFKBIA	CCL5 NFKBIA						AIM2 CASP1 CCL4 CCL5 DDX58 IRF7 NFKBIA PYCARD TMEM173	AIM2 CASP1 CCL5 DDX58 IRF7 NFKBIA PYCARD	AIM2 DDX58 IL1B IRF7 PYCARD TMEM173	AIM2 CCL5 DDX58 IL18 IL1B IRF7 NFKBIA	CCL4 IL1B TMEM173	AIM2 CCL5 DDX58 IL18 NFKBIA			AIM2 IL1B NFKB1							CCL4 CCL4L2 CCL5 IL1B IRF7 NFKBIA					IL18 IL1B				AIM2 CCL5			NFKBIA TMEM173			AIM2 CCL4 IL18	CCL4L2 IRF7 NFKBIA					
Dilated_cardiomyopathy			ITGB8 PRKACB SLC8A1																				ACTB ACTG1 ITGB7												ACTB ITGB8 TPM4							ACTB ACTG1 TPM4																					PRKACB TPM4																					ITGB8 TPM4												ACTB ACTG1							ACTG1 TPM4										ACTB ACTG1						ACTB ACTG1 TPM4							
Dorso-ventral_axis_formation	ETS2 ETV6																																																																																																																													
Drug_metabolism_-_cytochrome_P450		GSTM4 GSTP1 MGST1																																																																																																																												
Drug_metabolism_-_other_enzymes																																																																																																				CDA TYMP																										
ECM-receptor_interaction																																																																																																																												CD36 ITGB8		
Endocrine_and_other_factor-regulated_calcium_reabsorption			PRKACB SLC8A1									ATP1B1 ATP2B1 SLC8A1																																							ATP1B1 ATP2B1 SLC8A1																															ATP1B1 SLC8A1												ATP2B1 SLC8A1																																
Endocytosis																																																																		EHD4 HSPA8 IL2RA																																									CHMP5 HLA-A HLA-E HSPA8	CXCR4 DAB2																		
Epithelial_cell_signaling_in_Helicobacter_pylori_infection										HBEGF LYN NFKB1 NFKBIA											HBEGF NFKB1 NFKBIA						ATP6V1D CCL5 HBEGF NFKB1 NFKBIA			CCL5 JUN NFKBIA															ATP6V1D NFKBIA																												CCL5 LYN NFKB1 NFKBIA									CCL5 NFKBIA		CCL5 NFKBIA									CCL5 JUN LYN NFKBIA																																	
Ether_lipid_metabolism																												LPCAT2 PLA2G7																													LPCAT2 PLA2G7																																																																					
Fat_digestion_and_absorption							ACAT2 CD36																																									ABCA1 ACAT2																																																																														
Fatty_acid_metabolism				ACAT2 ACSL1			ACAT2 ACSL1																				ACAT2 ACSL1 ACSL4 ALDH2																																																																																																			
Fc_gamma_R-mediated_phagocytosis														FCGR1A FCGR3A HCK LAT PTPRC														FCGR1A FCGR2B FCGR3A LAT		FCGR3A GSN NCF1 PTPRC		GSN LAT MARCKS NCF1		GSN HCK LYN			GSN HCK LYN PTPRC				FCGR1A FCGR2A FCGR3A GSN HCK LAT MARCKS NCF1 PTPRC														FCGR2A HCK MARCKS NCF1	FCGR1A FCGR3A		FCGR2A FCGR3A LYN MARCKS PTPRC			FCGR2A FCGR3A HCK LAT LYN MARCKS PTPRC									FCGR2A FCGR3A HCK LAT LYN MARCKS NCF1 PTPRC				FCGR2A FCGR2B FCGR3A HCK LAT MARCKS PTPRC		FCGR2A FCGR2B FCGR3A GSN HCK LAT LYN MARCKS NCF1 PTPRC																	GSN HCK LAT LYN MARCKS		FCGR2A FCGR3A MARCKS NCF1			FCGR3A GSN HCK LYN PTPRC							FCGR1A GSN LYN MARCKS NCF1																LAT LYN MARCKS NCF1					
Focal_adhesion																							ACTB ACTG1 ITGB7									ACTB ACTG1 CCND2 FLT1 MYL12A SPP1			ACTB ITGB8																																																													ACTB ACTG1 FLT1																	ACTB ACTG1						ACTB ACTG1							
Folate_biosynthesis																																																																						GCH1 GGH																																																								
Fructose_and_mannose_metabolism																																					AKR1B1 FBP1																																																																																									
Gap_junction											TUBA1A TUBA1B							TUBA1A TUBA1B TUBB2A					TUBA1A TUBA1B TUBB TUBB4B		TUBA1A TUBA1B TUBA4A TUBB4B							TUBA1A TUBA1B TUBB TUBB2A TUBB4B								TUBA1A TUBA1B TUBA4A TUBB TUBB4B																																													TUBA1A TUBB																		TUBA1A TUBA1B TUBB						TUBA4A TUBB TUBB4B		TUBA4A TUBB TUBB4B		TUBA1A TUBB TUBB4B													TUBA1B TUBB4B
Gastric_acid_secretion																																																		ATP1B1 CALM1																			ATP1B1 CALM1					ACTB ATP1B1 CA2 CALM1 CALM3												CALM1 CALM3																																								
Glioma						CALM1 CCND1 CDKN1A CDKN2A										CDKN1A MDM2																		CALM2 CCND1 CDKN2A						CALM1 CDKN1A CDKN2A																CDKN1A CDKN2A								CALM3 CDKN2A					CALM1 CCND1 CDKN1A					CALM1 CALM3 CCND1 CDKN1A CDKN2A					CALM2 CALM3 CDKN2A MDM2							CALM1 CALM3		CALM1 CALM3 CDKN1A CDKN2A									CDKN2A MDM2					CALM3 CCND1 CDKN1A		CDKN1A CDKN2A																						
Glutamatergic_synapse			PRKACB SLC1A2 SLC1A3																																																																																																																											
Glutathione_metabolism		GSTM4 GSTP1 MGST1			GPX3 IDH2 LAP3							GPX3 GSTM3 GSTP1														GSTM4 IDH2	GCLC GSTM4 IDH2 MGST1																					GSTP1 LAP3	GPX3 IDH2 LAP3		GSTM3 GSTP1 LAP3							ANPEP GPX3 GSTM4 GSTP1			ANPEP GCLC GPX3 GSTM4 GSTP1 IDH2 MGST1									ANPEP GCLC GPX3 IDH2 LAP3 MGST1				GCLC GSTM3 GSTM4 GSTP1	ANPEP GCLC MGST1	GCLC GPX3 GSTM4 IDH2 LAP3 MGST1	LAP3 MGST1		ANPEP IDH2 LAP3 MGST1		ANPEP GCLC IDH2 MGST1	GPX3 GSTP1						GPX3 IDH2 LAP3 MGST1					ANPEP GPX3 IDH2 LAP3								GSTM4 IDH2	GSTM3 GSTP1			GPX3 GSTM4 IDH2 LAP3				GPX3 IDH2 MGST1																	
Glycerolipid_metabolism						AKR1B1 ALDH2 GK MGLL					LPL MGLL			AKR1B1 MGLL								ALDH2 LPL					AKR1B1 ALDH2 GK GPAT2					ALDH2 GK LPL MGLL								AKR1B1 LPL MGLL	AKR1B1 ALDH2 GK LPL MGLL															ALDH2 MGLL					AKR1B1 ALDH2 GK GPAT2 MGLL																				ALDH2 GK MGLL																AKR1B1 LPL												ALDH2 MGLL												GK GPAT2					
Glycine,_serine_and_threonine_metabolism					ALAS1 SDS										ALAS1 PHGDH PSAT1															DLD SDS							DLD MAOA									ALAS1 PSAT1					ALAS1 PHGDH PSAT1 SDS																						ALAS1 DLD SDS										ALAS1 PHGDH SDS					ALAS1 PHGDH PSAT1	DLD MAOA	ALAS1 DLD PHGDH PSAT1 SDS					ALAS1 PSAT1				ALAS1 PSAT1								ALAS1 DLD PSAT1								ALAS1 PHGDH PSAT1								DLD PSAT1			
Glycolysis_/_Gluconeogenesis																																					DLD FBP1 PCK2																																																																																									
Glycosphingolipid_biosynthesis_-_ganglio_series																																																																																													B3GALT4 HEXB																																	
Glyoxylate_and_dicarboxylate_metabolism																																ACAT2 MDH1																										ACAT2 MDH1																	ACAT2 MDH1																														ACAT2 MDH1																					
GnRH_signaling_pathway					ATF4 CALM2 CALM3																																																																						CALM1 CALM3 HBEGF JUN MMP14				ATF4 CALM2 CALM3 HBEGF JUN PRKACB							CALM1 CALM3																																								
Graft-versus-host_disease				HLA-DMB HLA-E		HLA-A HLA-DMA HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B		CD80 HLA-DMB		CD86 HLA-E IL1B												HLA-DQB1 HLA-DRA					CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B			HLA-A HLA-DPA1 HLA-DPB1 HLA-DRA HLA-DRB1 HLA-DRB5								HLA-DPA1 HLA-DRB1		HLA-DMA HLA-DQB1	CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRB1 IL1B	HLA-DMA HLA-DMB IL1B			HLA-DPA1 HLA-DRA HLA-DRB1	HLA-DPA1 HLA-DPB1 HLA-DRB1 HLA-DRB5 HLA-E	CD86 HLA-A HLA-DMB HLA-E	HLA-DPB1 HLA-DRB5 HLA-E	CD86 HLA-DMA HLA-E						CD80 HLA-DMA HLA-DMB HLA-DPA1 HLA-DRB1 HLA-E						CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E IL1B	HLA-DQA1 HLA-DQB1						HLA-DPA1 IL1B		CD80 CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-E			CD80 HLA-A HLA-DQA1 HLA-DQB1 HLA-DRA HLA-E	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B	CD86 HLA-DPA1 HLA-DPB1 HLA-DRA IL1B	CD80 CD86 HLA-A HLA-DMB HLA-DPB1 HLA-DQA1 HLA-E IL1B			CD80 CD86 HLA-A HLA-DRA IL1B	CD80 HLA-A HLA-DMB HLA-E	CD86 HLA-A HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB5 IL1B		CD80 HLA-A HLA-E		HLA-DMA HLA-DMB	HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DRA HLA-DRB1				CD80 HLA-A HLA-DQA1 HLA-E		CD80 CD86 HLA-A HLA-E IL1B	HLA-DMA HLA-DMB HLA-E IL1B	CD86 HLA-DPA1 HLA-DPB1 IL1B											CD80 CD86 HLA-DMA HLA-DMB HLA-E IL1B		CD86 HLA-A HLA-E			HLA-DMA IL1B										CD80 CD86 HLA-A						
