	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
IL-6_signaling_pathway							HCK IRF1			HCK IRF1 SOCS3 TIMP1		IRF1 JUNB STAT1							IRF1 STAT1									HCK SOCS3 TIMP1												HCK JUNB SOCS3 STAT1				IRF1 JUNB SOCS3 STAT1		JUNB SOCS3 STAT1		SOCS3 STAT1																				HCK IRF1 SOCS3		HCK IRF1 SOCS3 STAT1					HCK SOCS3 TIMP1	HCK IRF1 SOCS3 STAT1		JUNB TIMP1	IRF1 JUNB SOCS3 STAT1							HCK IRF1 JUNB SOCS3		HCK IRF1 SOCS3 STAT1		JUNB STAT1 TIMP1																		IRF1 SOCS3									
IL-7_Signaling_Pathway	CCND1 IL2RA									IL2RA IL7R																						CCND1 IL2RA IL7R								IL7R STAT1			IL7R STAT1	IL2RA IL7R STAT1				CCND1 STAT1										CCND1 IL2RA IL7R																														IL2RA IL7R STAT1	CCND1 IL2RA IL7R	CCND1 IL2RA STAT1																											
IL1_and_megakaryotyces_in_obesity	CCL2 MMP9		IL18 IL1B			IL18 MMP9				CCL2 HBEGF ICAM1 IL18 IL1B NFKB1 TIMP1 TLR2												HBEGF ICAM1 IL18 IL1B NFKB1						CCL2 HBEGF ICAM1 IL18 IL1B NFKB1 S100A9 TIMP1 TLR2	CCL2 MMP9 PLA2G7 S100A9						IL1B MMP9 TLR2					CCL2 ICAM1							HBEGF S100A9 TIMP1	HBEGF S100A9			CCL2 ICAM1 IL18 NFKB1			CCL2 S100A9 TLR2				IL18 IL1B MMP9 TIMP1 TLR2	CCL2 HBEGF			S100A9 TIMP1				IL1B S100A9		IL18 NFKB1 TLR2		CCL2 ICAM1 NFKB1	IL18 IL1B MMP9 S100A9 TIMP1 TLR2	CCL2 HBEGF IL1B S100A9 TIMP1 TLR2			CCL2 HBEGF ICAM1 IL18 IL1B MMP9 TIMP1		CCL2 HBEGF ICAM1 IL1B MMP9 PLA2G7 TIMP1	S100A9 TIMP1	ICAM1 IL18 PLA2G7						IL18 PLA2G7			ICAM1 IL1B MMP9 TLR2	ICAM1 IL18 IL1B MMP9 TLR2	IL1B MMP9 S100A9 TIMP1	CCL2 ICAM1 IL18			CCL2 IL1B MMP9 NFKB1 TLR2		CCL2 IL18									IL18 IL1B					PLA2G7 S100A9 TLR2							
Inflammatory_Response_Pathway										CD40 CD86 IL2RA																CD80 IL2RA TNFRSF1B		CD80 CD86 IL2RA																CD40 CD86 IL2RA		CD40 CD86					CD80 IL2RA																	CD40 CD80 CD86 IL2RA			CD86 IL2RA TNFRSF1B						CD40 CD86								IL2RA TNFRSF1B			CD80 CD86 IL2RA		CD86 IL2RA																							CD80 CD86				
Integrated_Breast_Cancer_Pathway																		AURKA PLK3																																		ANXA1 CYP19A1 PLK3								GRN PLK3	CYP19A1 PLK3											AHR ANXA1 JUN						CYP19A1 PLK3																				ANXA1 CYP19A1 PLK3									GRN PLK3										
Integrated_Pancreatic_Cancer_Pathway						BID CCND1 CDKN2A HSP90AB1 JUN JUNB															CD82 STAT1	CD82 FKBP1A HPGDS INHBA NFKB1															ANXA1 CDKN2A HSP90AB1										ANXA1 HSP90AB1 INHBA PTTG1	BID CCND1 CD82 INHBA STAT1													CD82 CTNNB1 INHBA						CCND1 HSP90AB1 JUNB																										CDKN2A HSP90AB1 MDM2					ANXA1 CCND1 CD82 INHBA JUNB				CD82 HSP90AB1 INHBA STAT1	CTNNB1 STMN1														
Interferon_type_I			PTPRC STAT4																												PDCD4 STAT4				PTPRC SOCS3 STAT2 STAT4					SOCS3 STAT1 STAT2 STAT4				SOCS3 STAT1 STAT2 STAT4		SOCS3 STAT1 STAT2 STAT4																																										SOCS3 STAT1 STAT2 STAT4																													
Interferon_type_I_signaling_pathways			PTPRC STAT4																												PDCD4 STAT4				PTPRC SOCS3 STAT2 STAT4					SOCS3 STAT1 STAT2 STAT4				SOCS3 STAT1 STAT2 STAT4		SOCS3 STAT1 STAT2 STAT4																																										SOCS3 STAT1 STAT2 STAT4																													
Interleukin-11_Signaling_Pathway																																								ICAM1 SOCS3 STAT1				ICAM1 SOCS3 STAT1				SOCS3 STAT1													ICAM1 SOCS3									ICAM1 SOCS3 STAT1									ICAM1 SOCS3 STAT1																													ICAM1 SOCS3									
Iron_metabolism_in_placenta												HAMP TFRC							FTH1 HAMP TFRC																																																				FTH1 TFRC					FTH1 HAMP												FTH1 HAMP	FTH1 HAMP				FTH1 TFRC											FTH1 TFRC													
Kit_receptor_signaling_pathway																																															FOS MATK																																																																						
Leptin_signaling_pathway										IL1B IL1RN NFKB1 PTPN1 SOCS3																									IL1B PTPN1 SOCS3											IL1RN PTPN1 SOCS3 STAT1		CCND1 SOCS3 STAT1													IL1RN SOCS3						CCND1 IL1RN			NFKB1 PTPN1 SOCS3 STAT1																			CCND1 IL1B IL1RN PTPN1	CCND1 IL1B STAT1															IL1B SOCS3												
Liver_X_Receptor_Pathway												NR1H3 SCD																																														NR1H3 SCD																			NR1H3 SCD																																								
MAPK_Signaling_Pathway						DDIT3 HSPA5 HSPB1 JUN LRRK2 MRAS								HSPA5 STMN1	CARD16 HSPA8 HSPB1								CD14 HSPA5 HSPA8 MRAS	DUSP6 FOS HSPA5				CARD16 CD14 DUSP1 DUSP6 IL1B LRRK2 MAP3K8 NFKB1																																											CD14 DDIT3 DUSP1 HSPA5 HSPA8 HSPB1 IL1B LRRK2 MRAS	CD14 DUSP6 FOS IL1B JUN LRRK2																		CD14 DUSP1 HSPB1 IL1B													ATF4 STMN1			DDIT3 HSPA8 HSPB1 JUN				CARD16 CD14 MRAS							
Matrix_Metalloproteinases						MMP7 MMP9 TIMP3																							MMP19 MMP9 TIMP3						MMP9 TIMP3			MMP19 MMP9 TIMP3												MMP9 TIMP3			MMP7 TIMP3									TIMP1 TIMP3									MMP7 MMP9 TIMP1 TIMP3	MMP14 TIMP1			MMP9 TIMP1 TIMP3	MMP19 MMP7 MMP9 TIMP3														MMP7 MMP9 TIMP1 TIMP3																											
Metapathway_biotransformation		GSTM4 GSTP1 MGST1											AKR1B1 CYP19A1 CYP1B1 CYP27B1		AKR1B1 AKR7A2 EPHX1																								GSTM4 SULT1C2																																							CYP19A1 CYP27B1 GPX3 GSTP1 SULT1A1						CYP27A1 GPX3 MGST1 SULT1A1													GSTM4 SULT1C2							CYP1B1 CYP27A1 GPX3 MGST1 SULT1A1							CYP19A1 CYP27B1						
Mitochondrial_LC-Fatty_Acid_Beta-Oxidation										ACSL1 ACSL4																		ACSL1 ACSL4																ACSL1 ACSL4																															ACSL1 ACSL4												ACSL1 ACSL4		ACSL1 ACSL4																												
Monoamine_Transport																						IL1B PVRL2																																																																																															
Myometrial_Relaxation_and_Contraction_Pathways			IL1B PDE4B SLC8A1							ADM ATF4 ETS2 IGFBP6 IL1B NFKB1 PDE4B												ETS2 IL1B NFKB1 RAMP1 RGS20		ACTB ACTG1 FOS		ACTG1 ATF3 IGFBP6 JUN PDE4B RGS16 YWHAQ			ACTB ACTG1 YWHAH YWHAQ			ACTB ACTG1 ADM ETS2					ACTG1 ATF3 YWHAQ	ACTB ACTG1 ATF3 IGFBP6 PRKACB RGS1 RGS16 RGS20 YWHAH YWHAQ									FOS IGFBP6 YWHAH YWHAQ								ATF3 RGS16 YWHAH YWHAQ			ADM ATF3 ATF4 ETS2 IL1B PDE4B PRKACB RGS1 RGS16 RGS20 YWHAH YWHAQ																	ATF4 ETS2 IL1B JUN PRKACB RAMP1 RGS20										ADM ATF3 IGFBP6 JUN PDE4B YWHAH				ATF3 ATF5 ETS2 IL1B JUN PDE4B PRKACB RGS16					IL1B NFKB1 PDE4B PRKACB RGS1 RGS16												ATF3 JUN RGS16 YWHAQ	ACTB ACTG1										
NAD_Biosynthesis_II_(from_tryptophan)								KYNU QPRT																																																																					KYNU QPRT									KYNU QPRT		KYNU QPRT																													
NOD_pathway			AIM2 IL18 IL1B							CARD16 IL18 IL1B NFKBIA RIPK2					CARD16 HSP90AA1							IL18 IL1B NFKBIA						AIM2 CARD16 IL18 IL1B NFKBIA				CARD16 PYCARD								AIM2 CARD16 CASP1 RIPK2				AIM2 CARD16 CASP1 RIPK2		CASP1 PYCARD RIPK2					IL18 NFKBIA							CARD16 HSP90AA1 IL18 IL1B NFKBIA	CARD16 CASP1									AIM2 CARD16 IL18 NFKBIA							AIM2 IL18 IL1B	AIM2 CARD16 IL18 NFKBIA PYCARD RIPK2										AIM2 CASP1 NFKBIA PYCARD RIPK2	AIM2 CASP1 NFKBIA PYCARD RIPK2	AIM2 CARD16 IL1B PYCARD	AIM2 HSP90AA1 IL18 IL1B NFKBIA		AIM2 IL18 NFKBIA														IL18 IL1B RIPK2					CARD16 HSP90AA1 NFKBIA			AIM2 CARD16 IL18				
NRF2_pathway							SLC39A8 SLC7A11 TXN	NFE2L2 NQO1 SLC39A8 TXN		HBEGF HSP90AB1 NFE2L2 SLC39A8 SLC7A11 TXN		BLVRB CBR3 GPX3 GSTM3 GSTP1 HSP90AA1 SLC2A3 SQSTM1 TXN			CES1 HSP90AA1 SERPINA1							CBR3 GSTM4 HBEGF SLC39A8 SLC7A11						CES1 HBEGF NFE2L2 SERPINA1 SLC2A3 SLC39A8 SLC5A3			FTH1 NFE2L2 SQSTM1				CBR3 FTH1 NFE2L2 SLC39A8 SLC7A11													GSTM3 HBEGF HSPA1A SQSTM1 TXN TXNRD1		GPX3 HSP90AB1 TXNRD1				BLVRB GSTP1 NFE2L2 SLC2A3				CBR3 GCLC GPX3 GSTM4 GSTP1 HSP90AA1 NFE2L2 SERPINA1 SLC2A3 SLC39A8 TXNRD1	CES1 FTH1 HBEGF SERPINA1 SLC7A11 SQSTM1 TXN			BLVRB NQO1 SLC2A3 SLC39A8					HBEGF HSP90AA1 HSP90AB1	CES1 FTH1 HSPA1A NQO1 SERPINA1 SLC2A6 SLC39A8 SLC7A11 SQSTM1 TXN		CES1 FTH1 GPX3 NFE2L2 SERPINA1 SLC2A6 SLC39A8 SQSTM1 TXN	BLVRB CBR3 FTH1 GCLC GSTM3 GSTM4 GSTP1 HSP90AA1 HSP90AB1 SERPINA1 SLC2A3 SLC39A8 TXNRD1	HBEGF HSP90AB1 SERPINA1 SLC2A3 SLC39A8 SLC5A3	CBR3 CES1 GCLC GPX3 GSTM4 TXNRD1				CES1 GCLC HBEGF HSP90AB1 HSPA1A NFE2L2 SERPINA1 SLC2A3 SLC2A6 SLC7A11	BLVRB GPX3 GSTP1 SLC2A6	BLVRB FTH1 GPX3 HSPA1A NQO1 SLC2A6 SQSTM1 TXN		HSP90AA1 HSP90AB1							BLVRB CES1 FTH1 NFE2L2 NQO1 SERPINA1 SLC2A6 SLC39A8 SQSTM1 TXN	FTH1 GPX3 HSP90AA1 HSP90AB1 NFE2L2 NQO1 SLC2A6 SLC39A8 TXN		GSTM4 NQO1 SQSTM1 TXNRD1	CES1 HBEGF SERPINA1 SLC2A3	CBR3 FTH1 GSTM4 HSP90AB1 SQSTM1				GSTM4 HSP90AB1				BLVRB GPX3 GSTM4 NQO1 SLC2A3 TXNRD1	HSP90AA1 HSP90AB1 TXN		FTH1 GPX3 NFE2L2		HSP90AA1 HSP90AB1 TXNRD1		NQO1 SLC7A11 TXN									
Notch_Signaling_Pathway						APH1B CCND1 CDKN1A NUMB																	APH1B CDKN1A HIF1A			APH1B CCND1 CDKN1A HIF1A NUMB																										APH1B CDKN1A															CCND1 CDKN1A				APH1B CCND1 CDKN1A CIR1 HIF1A NUMB																							APH1B CIR1 HIF1A NFKB1 NUMB	APH1B CIR1									APH1B CIR1												CDKN1A NUMB	
Nuclear_Receptors	NR1H3 NR3C1																																																																																																																				
Nuclear_Receptors_in_Lipid_Metabolism_and_Toxicity													ABCG1 CYP27B1																														CYP27B1 PPARG					CYP27B1 NR1H3																																																		CYP27B1 NR1H3															ABCG1 PPARG				
Nucleotide_Metabolism																																																																				MTHFD2 SAT1																										MTHFD2 SAT1																							
Oncostatin_M_Signaling_Pathway										CCL2 NFKB1 NFKBIA SOCS3																		CCL2 HIF1A NFKB1 NFKBIA SOCS3												CCL2 JUNB SOCS3 STAT1				CCL2 JUNB SOCS3 STAT1 TIMP3							CCL2 NFKB1 NFKBIA								CCL2 STAT1									HIF1A NFKB1 NFKBIA SOCS3		CCL2 NFKB1 NFKBIA SOCS3 STAT1		CCL2 FOS HIF1A NFKBIA			CCL2 HIF1A SOCS3 TIMP3	FOS NFKBIA SOCS3 STAT1 TIMP3		JUNB NFKBIA	JUNB NFKBIA SOCS3 STAT1	HIF1A NFKBIA								HIF1A SOCS3 STAT1 TIMP3		JUNB STAT1 TIMP3	CCL2 JUNB NFKBIA			CCL2 HIF1A NFKB1 TIMP3		CCL2 HIF1A																					
Osteoclast_Signaling																																																																							CTSK SPP1		ACP5 SPP1																					ACP5 CTSK																							
Osteopontin_Signaling																																						MMP9 SPP1																				MMP9 SPP1													MMP9 SPP1		MMP9 SPP1																					MMP9 NFKB1																							
Ovarian_Infertility_Genes																																			CCND2 PTGER2 ZP3																											PTGER2 ZP3													CCND2 CYP19A1 PTGER2 ZP3																																										
Oxidation_by_Cytochrome_P450													CYP19A1 CYP1B1 CYP27B1			CYP19A1 CYP27A1																																																														CYP19A1 CYP27B1																										CYB5A CYP1B1 CYP27A1							CYP19A1 CYP27B1						
Oxidative_Stress	MT1X TXNRD1							NFE2L2 NQO1		NFE2L2 NFKB1 SOD2		FOS GPX3 JUNB							MT1X SOD2			MT1X NFKB1						MT1X NFE2L2 NFKB1 SOD2				NFE2L2 TXNRD1			MAOA NFE2L2 SOD2					JUNB NFE2L2 SOD2			JUNB SOD2							GPX3 TXNRD1	MAOA NFKB1							GCLC GPX3 MGST1 NFE2L2 TXNRD1				MT1X NQO1						NFKB1 NQO1 SOD2		GPX3 MGST1 NFE2L2 NFKB1 SOD2	GCLC JUNB MT1X TXNRD1	FOS MT1X SOD2	GCLC GPX3 MGST1 TXNRD1		MGST1 MT1X NFE2L2 SOD2 TXNRD1	FOS GCLC GPX3 MGST1 NFE2L2 SOD2	GCLC MGST1 MT1X NFE2L2 SOD2	GPX3 JUNB	GPX3 JUNB MGST1 NQO1 SOD2					GPX3 MGST1	MAOA MT1X	FOS JUNB MGST1 NFE2L2 SOD2		NFE2L2 NQO1 SOD2	GPX3 MT1X NFE2L2 NQO1 SOD2	JUNB TXNRD1	JUNB NQO1 TXNRD1			GPX3 MT1X NFE2L2 NFKB1 TXNRD1							GPX3 NQO1 TXNRD1			GPX3 MGST1 NFE2L2				NQO1 SOD2					GCLC NFE2L2 SOD2	NFE2L2 SOD2			
Oxidative_phosphorylation				ATP6AP2 MT-ND2 NDUFB6	ATP6AP2 NDUFB9		MT-ATP6 MT-ND2 MT-ND4 MT-ND5	MT-ATP6 MT-ND2 MT-ND4 MT-ND5 NDUFB9																	MT-ATP6 MT-ND4																		MT-ATP6 MT-ND4 MT-ND5	MT-ATP6 MT-ND2 MT-ND4 MT-ND5		MT-ATP6 MT-ND2 MT-ND4 MT-ND5				ATP5G3 ATP6AP2 NDUFB6															MT-ATP6 MT-ND2 MT-ND4 MT-ND5								ATP5G3 ATP6AP2 MT-ND2 NDUFB6 NDUFB9		ATP5G3 ATP6AP2 NDUFB6 NDUFB9												MT-ATP6 MT-ND2 MT-ND4 MT-ND5							ATP5G3 MT-ND2 NDUFB6 NDUFB9	ATP5G3 NDUFB6						ATP5G3 ATP6AP2 MT-ATP6 MT-ND2 MT-ND4 MT-ND5 NDUFB9					ATP5G3 NDUFB6											
PPAR_Alpha_Pathway	CCND1 NR1H3											CCND1 DBI NR1H3 PLTP																	CCND1 NR1H3									CCND1 DBI NR1H3										CCND1 NR1H3										CCND1 DBI NR1H3									CCND1 NR1H3																															CCND1 NR1H3																			
Parkin-Ubiquitin_Proteasomal_System_pathway						HSPA5 RNF19A SNCA TUBA1A TUBA4A					TUBA1A TUBA1B				CARD16 HSPA8 SNCA TUBA4A				TUBA1A TUBA1B TUBB2A				HSPA5 HSPA8	HSPA5 TUBA1A TUBA1B TUBB4B		HSPA5 HSPA8 RNF19A TUBA1A TUBA1B TUBA4A TUBB4B			HSPA5 HSPA8 TUBA1B TUBA4A								HSPA8 TUBA1A TUBA1B TUBA4A TUBB4B	HSPA5 HSPA8 RNF19A TUBA1B TUBA4A TUBB2A										CASP1 TUBA4A UBE2L6		HSPA8 TUBA1B			HSPA5 SNCA TUBA1B					CARD16 HSPA5 HSPA8 TUBA1B TUBA4A TUBB2A	CARD16 CASP1 TUBB2A											CARD16 TUBB2A TUBB4B UBE2L6	HSPA5 HSPA8 SNCA TUBA1B TUBA4A		HSPA5 HSPA8 TUBA1B TUBB2A TUBB4B			CARD16 HSPA5 HSPA8 TUBA1A TUBA1B TUBB2A TUBB4B			TUBA1B TUBB2A TUBB4B UBE2L6						HSPA5 HSPA8 RNF19A SIAH2 TUBB4B	CASP1 TUBA1A TUBA1B TUBB2A TUBB4B UBE2L6									CARD16 HSPA5				HSPA5 TUBA1A TUBA1B			HSPA8 TUBB2A				HSPA8 TUBA4A TUBB4B	TUBA1A TUBB4B										HSPA8 TUBA1B TUBB4B
Parkinsons_Disease_Pathway						CYCS LRRK2 SNCA											CYCS SNCA															CYCS LRRK2 UCHL1																				CYCS LRRK2																																																																	
Pathogenic_Escherichia_coli_infection											TUBA1A TUBA1B	ACTB CD14 TUBA4A YWHAQ							TUBA1A TUBA1B TUBB2A					ACTB ACTG1 NCL TUBA1A TUBA1B TUBB4B		ACTG1 NCL TUBA1A TUBA1B TUBA4A TUBB4B YWHAQ			ACTB ACTG1 TUBA1B TUBA4A YWHAQ	ACTG1 CD14 TUBB2A TUBB4B							ACTG1 TUBA1A TUBA1B TUBA4A TUBB4B YWHAQ	ACTB ACTG1 NCL TUBA1B TUBA4A TUBB2A YWHAQ									NCL TUBA1A YWHAQ								TUBA4A YWHAQ			CD14 TUBA1B TUBA4A TUBB2A YWHAQ			CD14 CTNNB1						TUBA4A YWHAQ				ACTB CD14 TUBA1B TUBA4A YWHAQ					ACTB ACTG1 NCL TUBA1A TUBA1B TUBB2A TUBB4B			ACTB ACTG1 TUBA1B TUBB2A TUBB4B		ACTB TUBA1A					ACTB TUBA1A TUBA1B TUBB2A TUBB4B												TUBA4A YWHAQ	ACTG1 NCL TUBA1A TUBA1B			NCL TUBB2A				TUBA4A TUBB4B YWHAQ	ACTB ACTG1 TUBA1A TUBB4B										TUBA1B TUBB4B
Peptide_GPCRs																																																			C5AR1 CCR7 FPR2			C5AR1 CCR1 FPR1															CCR7 FPR2			CCR1 FPR1 FPR2																																													
Phase_I,_non_P450																																																																						CES1 LIPA			CES1 LIPA				CES1 LIPA											CES1 LIPA																													
Physiological_and_Pathological_Hypertrophy__of_the_Heart																																																																								FOS JUN																																													
Primary_Focal_Segmental_Glomerulosclerosis_FSGS																						MME PLAUR SCARB2 VIM						CD80 CTNNB1 PLAUR VIM	LIMS1 PLAUR YWHAQ								CDKN1A YWHAQ										PLAUR VIM YWHAQ		CDKN1A PLAUR		CD80 PLAUR SCARB2										CTNNB1 PLAUR SCARB2						CDKN1A YWHAQ				CDKN1A LIMS1 PLAUR VIM YWHAQ																									PLAUR SCARB2		CDKN1A PLAUR YWHAQ	LIMS1 PLAUR										LIMS1 SCARB2							CDKN1A YWHAQ	
Prostaglandin_Synthesis_and_Regulation				HPGD PTGDS				HSD11B1 TBXAS1		ANXA1 HSD11B1 PTGER2 S100A10									ANXA6 TBXAS1			HPGD HSD11B1 PTGDS PTGER2 S100A10 TBXAS1						HSD11B1 PTGIR S100A10							HPGD PTGER2					HSD11B1 PTGER2 PTGIR						HSD11B1 TBXAS1								ANXA6 S100A10				ANXA1 HPGD PTGIR S100A10	HSD11B1 TBXAS1	PTGDS TBXAS1		PTGER2 S100A10						HSD11B1 PTGER2 PTGIR S100A10		HSD11B1 PTGER2 PTGIR	HPGD PTGIR S100A10	ANXA1 HSD11B1 S100A10				HPGD PTGIR PTGS1	ANXA1 PTGDS S100A10									ANXA1 HSD11B1 PTGS1 TBXAS1									HPGD PTGDS	PTGER2 PTGIR																	ANXA1 PTGIR S100A10	HSD11B1 PTGDS	PTGIR PTGS1		
Proteasome_Degradation							PSMA4 PSME1												PSME1 PSME2 UCHL1								PSMA7 UCHL1													PSMA4 PSME1 PSME2 UBE2D1			PSMA4 PSME1 PSME2																																	H2AFZ PSMA7 PSME1 UBE2D1 UCHL1			H2AFZ PSMA4 PSMA7 PSME1 PSME2																		PSMA7 UCHL1				H2AFZ PSMA7 UCHL1													PSMA4 PSME1 PSME2			
Quercetin_and_Nf-kB/_AP-1_Induced_Cell_Apoptosis										NFE2L2 NFKB1																		NFE2L2 NFKB1																														ACOX2 NFE2L2												ACOX2 NFE2L2 NFKB1		FOS JUN			ACOX2 JUN NFE2L2	ACOX2 FOS NFE2L2										ACOX2 FOS NFE2L2		ACOX2 NFE2L2	JUN NFE2L2					NFE2L2 NFKB1																			ACOX2 NFE2L2				
Quercetin_and_Nf-kB/_AP-1_induced_cell_apoptosis										NFE2L2 NFKB1																		NFE2L2 NFKB1																														ACOX2 NFE2L2												ACOX2 NFE2L2 NFKB1		FOS JUN			ACOX2 JUN NFE2L2	ACOX2 FOS NFE2L2										ACOX2 FOS NFE2L2		ACOX2 NFE2L2	JUN NFE2L2					NFE2L2 NFKB1																			ACOX2 NFE2L2				
RANKL/RANK_Signaling_Pathway										ICAM1 LYN NFKB1 NFKBIA									ACP5 STAT1			ICAM1 NFKB1 NFKBIA																		ICAM1 SQSTM1 STAT1				ACP5 ICAM1 SQSTM1 STAT1							ICAM1 NFKB1 NFKBIA								SQSTM1 STAT1									LYN NFKB1 NFKB2 NFKBIA SQSTM1		ICAM1 LYN NFKB1 NFKB2 NFKBIA SQSTM1 STAT1		FOS JUN NFKBIA			ACP5 ICAM1 JUN LYN	ACP5 FOS NFKB2 NFKBIA STAT1		NFKB2 NFKBIA	ICAM1 NFKBIA SQSTM1 STAT1							ACP5 FOS ICAM1 NFKB2 NFKBIA SQSTM1	ACP5 ICAM1 NFKBIA SQSTM1 STAT1	ACP5 ICAM1 NFKB2 SQSTM1 STAT1	ACP5 ICAM1 JUN LYN NFKB2 NFKBIA		ICAM1 NFKBIA SQSTM1			ACP5 CTSK LYN NFKB1																				ACP5 ICAM1 LYN NFKBIA SQSTM1			
RB_in_Cancer		H2AFZ STMN1															CDKN1A MDM2									CCND1 CDKN1A CKS1B HMGB2 JUN																						CCND1 CDKN1A CKS1B																			CCND1 CDKN1A																										CKS1B HMGB2 MDM2																							CDKN1A CKS1B	
Regulation_of_Actin_Cytoskeleton																		ACTG1 TMSB4X						ACTB ACTG1									ACTB MRAS TMSB4X																																																																										ACTB ACTG1										
Regulation_of_toll-like_receptor_signaling_pathway	CCL3 CCL4 CD14									CCL3 CCL4 CD40 CD86 IL1B NFKB1 NFKBIA TLR2		CD14 CD40 CD86 FOS SQSTM1 STAT1																CCL3 CCL4 CCL5 CD14 CD80 CD86 IL1B IRF7 MAP3K8 NFKB1 NFKBIA TLR2												CCL5 CD40 CD80 IRF7 SQSTM1 STAT1		CCL3 CD14 NFKBIA		CCL3 CCL5 CD40 CD86 IRF7 SQSTM1 STAT1 TRAFD1		CCL3 CCL5 CD40 CD86 IRF7 STAT1															CCL3 CD14 CD40							CCL3 CCL5 CD14 CD40 CD80 CD86 MAP3K8 NFKB1 NFKB2 NFKBIA SQSTM1 TLR2		CCL3 CCL4 CCL5 CD40 CD80 NFKB1 NFKB2 NFKBIA SQSTM1 STAT1		CCL3 CCL4 CD14 CD86 FOS IL1B IRF7 JUN NFKBIA TLR2					CCL3 CCL4 CD14 CD40 CD86 IL1B	CCL4 CCL5 NFKB2 NFKBIA	CCL5 CD40 CD80 IRF7 NFKBIA SQSTM1 STAT1 TRAFD1	CCL5 CD40 NFKBIA		CCL3 CCL4				CCL4 CCL5 CD40 CD80 FOS IRF7 NFKB2 NFKBIA SQSTM1 TRAFD1	CCL3 CCL5 CD40 CD80 IRF7 NFKBIA SQSTM1 STAT1 TRAFD1	CD80 CD86 IL1B IRF7 MAP3K8 NFKB2 SQSTM1 STAT1 TLR2	CCL5 IL1B IRF7 JUN MAP3K8 NFKB2 NFKBIA TLR2	CCL4 CD14 CD86 IL1B STAT1																				CD14 NFKBIA TLR2			CCL4 CD80 CD86 NFKB2 SPP1				
SIDS_Susceptibility_Pathways			HIF1A IL1B SLC1A3																										HSP90B1 HSPD1 IL1RN YWHAH YWHAQ																										HSPD1 IL1RN YWHAH YWHAQ						CTNNB1 IL1RN POU2F2				MT-ND2 YBX1																													HIF1A IL1B MT-ND2 NFKB1 PRKACB SLC1A3												HSPD1 IL1RN JUN YWHAQ											
SREBF_and_miR33_in_cholesterol_and_lipid_homeostasis												NR1H3 SCD																																																																	NR1H3 SCD																																								
SREBP_signalling					DBI MDH1						INSIG1 LPL															FDPS INSIG1 LPL SQLE			FDPS INSIG1 SQLE	DBI INSIG1 MDH1 PPARG							FDPS LPL	AMFR DBI FDPS INSIG1 LPL MDH1 PPARG																			FDPS SQLE	DBI FDPS INSIG1 MDH1 PPARG SCD SQLE															DBI INSIG1 MDH1 PPARG						DBI FDPS MDH1 PPARG SQLE							DBI INSIG1 MDH1 PPARG SQLE		DBI FDPS INSIG1 PPARG	DBI INSIG2 MDH1 PPARG												DBI FDPS MDH1																
Selenium_Metabolism_and_Selenoproteins																										JUN SELM TXNRD1																								GPX3 TXNRD1																																			JUN SELM									GPX3 NFKB1 TXNRD1							GPX3 TXNRD1					JUN TXNRD1											
