	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
Fatty_Acid_Biosynthesis																												ACSL1 ACSL4 SCD																																																	ACSL1 ACSL4		ACSL4 SCD										ACSL1 ACSL4																																
Fatty_Acid_Omega_Oxidation						ALDH1A1 ALDH2																																																																			ALDH1A1 ALDH2																																		ALDH1A1 ALDH2														
Fluoropyrimidine_Activity																																						CDA GGH TYMP UPP1																																								CDA TYMP UPP1													CDA TYMP UPP1		CDA TYMP					CDA TYMP																						GGH UPP1	
Focal_Adhesion																								ACTB ACTG1 ITGB7								ACTB ACTG1 CCND1 FGR HCK	ACTB ITGB8																																																													ACTB ACTG1 FLT1																ACTB ACTG1						ACTB ACTG1					
Folate_Metabolism					GPX3 SOD2					IL1B NFKB1 SOD2												IL1B NFKB1													IL1B SOD2	ABCA1 SOD2														GPX3 IL1B																			ABCA1 GPX3 NFKB1 NFKB2 SOD2			GPX3 NFKB1 NFKB2 SOD2			GPX3 IL1B NFKB1 NFKB2 SOD2		ABCA1 IL1B SOD2	GPX3 NFKB2 SOD2		GPX3 NFKB2						GPX3 SOD2				IL1B NFKB2 SOD2	GPX3 IL1B NFKB2 SOD2					GPX3 IL1B NFKB1																					NFKB2 SOD2				
G1_to_S_cell_cycle_control																	CDKN1A MDM2																																				CDKN1A CDKN2A															CCND1 CDKN1A																											CDKN2A MDM2							CDKN1A CDKN2A																			
GPCRs,_Class_A_Rhodopsin-like																																																																							CCR7 FPR2 LPAR6 PTGIR																																																		
Gastric_cancer_network_2			PLAC8 RNF144B																							LBR PLAC8 RNF144B																																																			CD48 PLAC8 RNF144B													CD48 PLAC8 RNF144B																															
Glial_Cell_Differentiation																																						CNP MBP																					CNP MBP																CNP MBP															CNP MBP													CNP MBP																		
Glutathione_metabolism																																																							ANPEP GPX3				ANPEP GCLC GPX3										ANPEP GCLC GPX3					ANPEP GCLC					ANPEP GCLC																																										
Glycolysis_and_Gluconeogenesis																															FBP1 MDH1 MPC2								LDHA SLC2A3			MPC2 SLC2A3													FBP1 MDH1 MPC2 SLC2A3								LDHA SLC2A3														FBP1 LDHB MDH1 MPC2	FBP1 LDHB MDH1 MPC2																				FBP1 MPC2					FBP1 LDHB MDH1 SLC2A3																		
Hair_Follicle_Development																																																														CTNNB1 INHBA																																																											
Hypertrophy_Model																						HBEGF IL18				ATF3 HBEGF																						ATF3 HBEGF																				ATF3 HBEGF									HBEGF IL18										ATF3 IL18				ATF3 IL18									ATF3 HBEGF																				ATF3 IL18	
ID_signaling_pathway																																																																																													ID2 ID3																												
IL-1_signaling_pathway										CCL2 IL1B NFKB1 NFKBIA												IL1B NFKB1 NFKBIA																														CCL2 NFKB1 NFKBIA								CCL2 SQSTM1												CCL2 NFKB1 NFKBIA SQSTM1		CCL2 IL1B JUN NFKBIA																			CCL2 NFKBIA SQSTM1			CCL2 IL1B NFKB1																									
IL-2_Signaling_Pathway					SOCS3 STAT1																					CCND2 IL2RA JUN									CCND2 IL2RA SOCS3									IL2RA SOCS3 STAT1				FOS SOCS3 STAT1																								CCND2 SOCS3 STAT1					CCND2 JUN SOCS3	CCND2 FOS SOCS3 STAT1														IL2RA STAT1																													
IL-3_Signaling_Pathway						HCK JUN YWHAQ						CD86 FOS YWHAQ																							HCK IL3RA LYN												CD86 FOS YWHAQ																						CD86 HCK IL3RA LYN YWHAQ					CD86 FOS JUN			CD86 HCK IL3RA JUN LYN																																JUN YWHAQ								CD86 HCK IL3RA				
IL-4_Signaling_Pathway																												DOK2 NFKB1 NFKBIA SOCS3		DOK2 NFKBIA STAT1												DOK2 NFKBIA						DOK2 FOS SOCS3 STAT1																								NFKB1 NFKBIA SOCS3 STAT1						FOS NFKBIA SOCS3 STAT1		DOK2 NFKBIA																																	DOK2 NFKBIA								
IL-5_Signaling_Pathway																														JUN SPRED1 STAT1																																																																																											
IL-6_signaling_pathway		IRF1 STAT1			SOCS3 STAT1		HCK IRF1			HCK IRF1 SOCS3 TIMP1		IRF1 JUNB STAT1							IRF1 STAT1																					HCK JUNB SOCS3 STAT1				IRF1 JUNB SOCS3 STAT1		JUNB SOCS3 STAT1																										HCK IRF1 SOCS3 STAT1					HCK SOCS3 TIMP1	HCK IRF1 SOCS3 STAT1		JUNB TIMP1	IRF1 JUNB SOCS3 STAT1							HCK IRF1 JUNB SOCS3		HCK IRF1 SOCS3 STAT1		JUNB STAT1 TIMP1											IRF1 STAT1 TIMP1								IRF1 SOCS3										
IL-7_Signaling_Pathway	CCND1 IL2RA																													IL7R STAT1		CCND1 IL2RA IL7R											IL7R STAT1	IL2RA IL7R STAT1				CCND1 STAT1											CCND1 IL2RA IL7R										CCND1 IL2RA IL7R																					IL2RA IL7R STAT1	CCND1 IL2RA IL7R	CCND1 IL2RA STAT1																													
IL1_and_megakaryotyces_in_obesity	CCL2 MMP9		IL18 IL1B			IL18 IL1B MMP9 TLR2				CCL2 HBEGF ICAM1 IL18 IL1B MMP9 NFKB1 TIMP1 TLR2												HBEGF ICAM1 IL18 IL1B NFKB1						CCL2 HBEGF ICAM1 IL18 IL1B MMP9 NFKB1 S100A9 TIMP1 TLR2	CCL2 MMP9 PLA2G7 S100A9	IL18 S100A9					IL1B MMP9 TLR2		PLA2G7 S100A9	IL18 IL1B MMP9 S100A9 TLR2	CCL2 IL1B S100A9 TIMP1 TLR2								HBEGF S100A9 TIMP1	HBEGF PLA2G7 S100A9		IL1B MMP9 S100A9		CCL2 ICAM1 IL18 NFKB1		PLA2G7 TIMP1	CCL2 S100A9 TLR2				IL18 IL1B MMP9 TIMP1 TLR2	CCL2 HBEGF			S100A9 TIMP1				IL1B S100A9		IL18 NFKB1 PLA2G7 TLR2			CCL2 ICAM1 NFKB1	IL18 IL1B MMP9 S100A9 TIMP1 TLR2	CCL2 HBEGF IL1B S100A9 TIMP1 TLR2	CCL2 ICAM1 IL18 IL1B MMP9 NFKB1 TLR2		CCL2 HBEGF ICAM1 IL18 IL1B MMP9 TIMP1		CCL2 HBEGF ICAM1 IL1B MMP9 PLA2G7 TIMP1	S100A9 TIMP1	ICAM1 IL18 PLA2G7						IL18 PLA2G7			ICAM1 IL1B MMP9 TLR2	ICAM1 IL18 IL1B MMP9 TLR2	IL1B MMP9 S100A9 TIMP1	CCL2 ICAM1 IL18			CCL2 IL1B MMP9 NFKB1 TLR2		CCL2 IL18					ICAM1 IL1B TIMP1					IL18 IL1B					PLA2G7 S100A9 TLR2								
Inflammatory_Response_Pathway					CD40 CD86					CD40 CD86 IL2RA																CD80 IL2RA TNFRSF1B		CD80 CD86 IL2RA																CD40 CD86 IL2RA		CD40 CD86						CD80 IL2RA																	CD40 CD80 CD86 IL2RA				CD86 IL2RA TNFRSF1B		CD40 CD80 CD86 IL2RA				CD40 CD86							CD40 CD86	IL2RA TNFRSF1B			CD80 CD86 IL2RA		CD86 IL2RA																									CD80 CD86			IL2RA TNFRSF1B	
Integrated_Breast_Cancer_Pathway										ANXA1 CYP19A1 GRN PLK3								AURKA PLK3																															GRN PLK3				ANXA1 CYP19A1 PLK3								GRN PLK3	CYP19A1 PLK3																		CYP19A1 PLK3																				ANXA1 CYP19A1 GRN PLK3										GRN PLK3											
Integrated_Pancreatic_Cancer_Pathway						BID CCND1 CDKN2A HSP90AB1 JUN JUNB STMN1															CD82 STAT1	CD82 FKBP1A HPGDS INHBA NFKB1																									ANXA1 HSP90AB1 INHBA PTTG1	BID CCND1 CD82 CTNNB1 INHBA STAT1 STMN1														CD82 CDKN2A CTNNB1 INHBA																						ANXA1 HSP90AB1		BID CD82 CDKN2A HSP90AB1 INHBA JUNB STMN1									CDKN2A HSP90AB1 MDM2					ANXA1 CCND1 CD82 INHBA JUNB STMN1					CD82 HSP90AB1 INHBA STAT1	CTNNB1 STMN1															
Interferon_type_I			PTPRC STAT4																																PTPRC SOCS3 STAT2 STAT4					SOCS3 STAT1 STAT2 STAT4				SOCS3 STAT1 STAT2 STAT4		SOCS3 STAT1 STAT2 STAT4		PTPRC SOCS3 STAT1																				PDCD4 PTPRC																						SOCS3 STAT1 STAT2 STAT4																															
Interferon_type_I_signaling_pathways			PTPRC STAT4																																PTPRC SOCS3 STAT2 STAT4					SOCS3 STAT1 STAT2 STAT4				SOCS3 STAT1 STAT2 STAT4		SOCS3 STAT1 STAT2 STAT4		PTPRC SOCS3 STAT1																				PDCD4 PTPRC																						SOCS3 STAT1 STAT2 STAT4																															
Interleukin-11_Signaling_Pathway					SOCS3 STAT1																																							ICAM1 SOCS3 STAT1																		ICAM1 SOCS3										ICAM1 SOCS3 STAT1									ICAM1 SOCS3 STAT1																														ICAM1 SOCS3										
Iron_metabolism_in_placenta												HAMP TFRC							FTH1 HAMP TFRC																					FTH1 HAMP								HAMP TFRC			FTH1 HAMP																						FTH1 TFRC					FTH1 HAMP												FTH1 HAMP	FTH1 HAMP				FTH1 TFRC								FTH1 HAMP				FTH1 TFRC														
Kit_receptor_signaling_pathway																																															FOS MATK																																																																										
Leptin_signaling_pathway										IL1B IL1RN NFKB1 PTPN1 SOCS3																									IL1B PTPN1 SOCS3											IL1RN PTPN1 SOCS3 STAT1																IL1RN SOCS3						CCND1 IL1RN				NFKB1 PTPN1 SOCS3 STAT1																			CCND1 IL1B IL1RN PTPN1	CCND1 IL1B STAT1																IL1B SOCS3													
Liver_X_Receptor_Pathway												NR1H3 SCD																																															NR1H3 SCD																				NR1H3 SCD																																										
MAPK_Signaling_Pathway						CD14 DDIT3 HSPA5 HSPB1 IL1B JUN LRRK2 MRAS STMN1								HSPA5 STMN1	CARD16 HSPA8 HSPB1								CD14 HSPA5 HSPA8 MRAS	DUSP6 FOS HSPA5					CD14 DDIT3 HSPA5 HSPA8 HSPB1																			ATF4 CASP1 CD14 DUSP5 FOS HSPB1 STMN1																									CD14 DDIT3 DUSP1 HSPA5 HSPA8 HSPB1 IL1B LRRK2 MRAS																			CD14 DUSP1 HSPB1 IL1B														ATF4 STMN1			DDIT3 HSPA8 HSPB1 JUN				CARD16 CD14 MRAS								
Matrix_Metalloproteinases		MMP19 MMP7				MMP7 MMP9 TIMP3			MMP19 MMP7																			MMP14 MMP9 TIMP1 TIMP3	MMP19 MMP9 TIMP3						MMP9 TIMP3			MMP19 MMP7 MMP9 TIMP3	MMP19 TIMP1											MMP9 TIMP3				MMP7 TIMP1 TIMP3									TIMP1 TIMP3										MMP7 MMP9 TIMP1 TIMP3	MMP14 TIMP1 TIMP3			MMP9 TIMP1 TIMP3	MMP19 MMP7 MMP9 TIMP3														MMP7 MMP9 TIMP1 TIMP3											MMP7 TIMP1 TIMP3																		
Metapathway_biotransformation		AKR1B1 CYP1B1 GSTM4 GSTP1 MGST1											AKR1B1 CYP19A1 CYP1B1 CYP27B1		AKR1B1 AKR7A2 EPHX1																																																																	CYP19A1 CYP27B1 GPX3 GSTP1 SULT1A1																			GSTM4 SULT1C2	CYP19A1 CYP27A1 CYP27B1 GSTM3 GSTP1							CYP1B1 CYP27A1 GPX3 MGST1 SULT1A1							CYP19A1 CYP27B1							
Mitochondrial_LC-Fatty_Acid_Beta-Oxidation										ACSL1 ACSL4																																		ACSL1 ACSL4																																	ACSL1 ACSL4												ACSL1 ACSL4		ACSL1 ACSL4																														
Monoamine_Transport																						IL1B PVRL2																																																																																																			
Myometrial_Relaxation_and_Contraction_Pathways			IL1B PDE4B PRKACB SLC8A1							ADM ATF4 ETS2 IGFBP6 IL1B NFKB1 PDE4B PRKACB RGS1												ETS2 IL1B NFKB1 RAMP1 RGS20		ACTB ACTG1 FOS		ACTG1 ATF3 IGFBP6 JUN PDE4B RGS16 YWHAQ						ACTB ACTG1 ADM ETS2						ACTB ACTG1 ATF3 ATF5 ETS2 IGFBP6 IL1B PDE4B PRKACB RGS1 RGS16 RGS20 YWHAH YWHAQ	ACTA2 ACTB ACTG1 IL1B								FOS IGFBP6 YWHAH YWHAQ									ATF3 RGS16 YWHAH YWHAQ			ADM ATF3 ATF4 ETS2 IL1B PDE4B PRKACB RGS1 RGS16 RGS20 YWHAH YWHAQ											IGFBP6 SLC8A1					ADM ATF4 ATF5 ETS2 IL1B NFKB1 PDE4B PRKACB RGS1 RGS16 RGS20 YWHAH		ATF4 ETS2 IL1B JUN PRKACB RAMP1 RGS20										ADM ATF3 IGFBP6 JUN PDE4B YWHAH				ATF3 ATF5 ETS2 IL1B JUN PDE4B PRKACB RGS16					IL1B NFKB1 PDE4B PRKACB RGS1 RGS16													ATF3 JUN RGS16 YWHAQ	ACTB ACTG1						ACTB ACTG1				ATF3 PDE4B YWHAQ	
NAD_Biosynthesis_II_(from_tryptophan)								KYNU QPRT																																KYNU QPRT																													KYNU QPRT						KYNU QPRT				KYNU QPRT									KYNU QPRT		KYNU QPRT																															
NOD_pathway			AIM2 IL18 IL1B			HSP90AA1 IL18 IL1B				CARD16 IL18 IL1B NFKBIA RIPK2					CARD16 HSP90AA1							IL18 IL1B NFKBIA						AIM2 CARD16 IL18 IL1B NFKBIA		AIM2 CARD16 IL18 NFKBIA		CARD16 PYCARD						AIM2 CARD16 HSP90AA1 IL18 IL1B NFKBIA		AIM2 CARD16 CASP1 PYCARD RIPK2				AIM2 CARD16 CASP1 RIPK2		CASP1 PYCARD RIPK2				IL1B PYCARD		IL18 NFKBIA							CARD16 HSP90AA1 IL18 IL1B NFKBIA	CARD16 CASP1															AIM2 CARD16 IL18 IL1B NFKBIA PYCARD RIPK2		AIM2 IL18 IL1B	AIM2 CARD16 IL18 NFKBIA PYCARD RIPK2										AIM2 CASP1 NFKBIA PYCARD RIPK2	AIM2 CASP1 NFKBIA PYCARD RIPK2	AIM2 CARD16 IL1B PYCARD	AIM2 HSP90AA1 IL18 IL1B NFKBIA		AIM2 IL18 NFKBIA															IL18 IL1B RIPK2					CARD16 HSP90AA1 NFKBIA				AIM2 CARD16 IL18			HSP90AA1 IL18	
NRF2_pathway		GSTM4 GSTP1 NQO1 SQSTM1					SLC39A8 SLC7A11 TXN	NFE2L2 NQO1 SLC39A8 TXN		BLVRB GCLC HBEGF HSP90AB1 NFE2L2 SLC39A8 SLC7A11 TXN		BLVRB CBR3 GPX3 GSTM3 GSTP1 HSP90AA1 SLC2A3 SQSTM1 TXN			CES1 HSP90AA1 SERPINA1							CBR3 GSTM4 HBEGF SLC39A8 SLC7A11						CBR3 CES1 GCLC GSTM4 HBEGF NFE2L2 SERPINA1 SLC2A3 SLC39A8 SLC5A3							CBR3 FTH1 NFE2L2 SLC39A8 SLC7A11		FTH1 HSP90AA1 HSP90AB1 NQO1											BLVRB GSTM3 GSTP1 HBEGF HSPA1A SQSTM1 TXN TXNRD1		FTH1 GPX3 HSP90AB1 TXNRD1					BLVRB CBR3 GPX3 GSTM4 GSTP1 NFE2L2 SLC2A3				CBR3 GCLC GPX3 GSTM4 GSTP1 HSP90AA1 NFE2L2 SERPINA1 SLC2A3 SLC39A8 TXNRD1	CES1 FTH1 HBEGF SERPINA1 SLC7A11 SQSTM1 TXN			BLVRB NQO1 SLC2A3 SLC39A8					GSTP1 HBEGF HSP90AA1 HSP90AB1	CES1 FTH1 GCLC GPX3 HSPA1A NQO1 SERPINA1 SLC2A6 SLC39A8 SLC7A11 SQSTM1 TXN			CES1 FTH1 GPX3 NFE2L2 SERPINA1 SLC2A6 SLC39A8 SQSTM1 TXN	BLVRB CBR3 FTH1 GCLC GSTM3 GSTM4 GSTP1 HSP90AA1 HSP90AB1 SERPINA1 SLC2A3 SLC39A8 TXNRD1	GCLC HBEGF HSP90AB1 SERPINA1 SLC2A3 SLC39A8 SLC5A3	CBR3 CES1 FTH1 GCLC GPX3 GSTM4 HSPA1A NFE2L2 NQO1 SERPINA1 SLC2A6 SLC39A8 SLC7A11 TXN TXNRD1				CES1 GCLC HBEGF HSP90AB1 HSPA1A NFE2L2 SERPINA1 SLC2A3 SLC2A6 SLC7A11	BLVRB GPX3 GSTP1 SLC2A6	BLVRB FTH1 GPX3 HSPA1A NQO1 SLC2A6 SQSTM1 TXN		HSP90AA1 HSP90AB1	HSP90AB1 SLC2A3						BLVRB CES1 FTH1 NFE2L2 NQO1 SERPINA1 SLC2A6 SLC39A8 SQSTM1 TXN	FTH1 GPX3 HSP90AA1 HSP90AB1 NFE2L2 NQO1 SLC2A6 SLC39A8 TXN			CES1 HBEGF SERPINA1 SLC2A3	CBR3 FTH1 GSTM4 HSP90AB1 SQSTM1				GSTM4 HSP90AB1	BLVRB GSTM3 GSTP1 HBEGF SLC7A11			BLVRB FTH1 GPX3 GSTM4 HSPA1A NQO1 SERPINA1 SLC2A3 SLC7A11 TXN TXNRD1		HSP90AA1 HSP90AB1 TXN		FTH1 GPX3 HSP90AA1 HSP90AB1 NFE2L2				NQO1 SLC7A11 TXN										
Notch_Signaling_Pathway						APH1B CCND1 CDKN1A NUMB																	APH1B CDKN1A HIF1A			APH1B CCND1 CDKN1A HIF1A NUMB																											APH1B CDKN1A																				APH1B CCND1 CDKN1A CIR1 HIF1A NUMB																							APH1B CIR1 HIF1A NFKB1 NUMB	APH1B CIR1										APH1B CDKN1A CIR1													CDKN1A NUMB	
Nuclear_Receptors	NR1H3 NR3C1																																																																																																																								
Nuclear_Receptors_in_Lipid_Metabolism_and_Toxicity													ABCG1 CYP27B1																														CYP27B1 PPARG																																																									CYP27B1 NR1H3																	ABCG1 PPARG				
Nucleotide_Metabolism																																																																																																MTHFD2 SAT1																									
Oncostatin_M_Signaling_Pathway					CCL2 SOCS3 STAT1																							CCL2 HIF1A NFKB1 NFKBIA SOCS3 TIMP3												CCL2 JUNB SOCS3 STAT1				CCL2 JUNB SOCS3 STAT1 TIMP3								CCL2 NFKB1 NFKBIA								CCL2 STAT1												CCL2 NFKB1 NFKBIA SOCS3 STAT1		CCL2 FOS HIF1A NFKBIA TIMP3			CCL2 HIF1A SOCS3 TIMP3	FOS NFKBIA SOCS3 STAT1 TIMP3		JUNB NFKBIA	JUNB NFKBIA SOCS3 STAT1	HIF1A NFKBIA								HIF1A SOCS3 STAT1 TIMP3		JUNB STAT1 TIMP3	CCL2 JUNB NFKBIA			CCL2 HIF1A NFKB1 TIMP3		CCL2 HIF1A					HIF1A NFKBIA STAT1 TIMP3																		
Osteoclast_Signaling																																							ACP5 SPP1																																		CTSK SPP1																							ACP5 CTSK				ACP5 SPP1			ACP5 SPP1																		
Osteopontin_Signaling										MMP9 NFKB1																		MMP9 NFKB1																															MMP9 SPP1														MMP9 SPP1		MMP9 NFKB1 SPP1																					MMP9 NFKB1																									
Ovarian_Infertility_Genes																																			CCND2 PTGER2 ZP3																												PTGER2 ZP3														CCND2 CYP19A1 PTGER2 ZP3																					CCND2 PTGER2																							
Oxidation_by_Cytochrome_P450													CYP19A1 CYP1B1 CYP27B1			CYP19A1 CYP27A1																																														CYP19A1 CYP27A1																		CYP19A1 CYP27B1																				CYP19A1 CYP27A1 CYP27B1							CYB5A CYP1B1 CYP27A1							CYP19A1 CYP27B1							
Oxidative_Stress	MT1X TXNRD1	MGST1 NQO1 SOD2			GPX3 SOD2			NFE2L2 NQO1		GCLC MGST1 NFE2L2 NFKB1 SOD2		FOS GPX3 JUNB							MT1X SOD2			MT1X NFKB1						GCLC MGST1 MT1X NFE2L2 NFKB1 SOD2				NFE2L2 TXNRD1			MAOA NFE2L2 SOD2	MGST1 NFE2L2 SOD2	MT1X NQO1	GCLC JUNB MGST1 MT1X NFE2L2 SOD2		GCLC JUNB NFE2L2 SOD2			JUNB SOD2							GPX3 TXNRD1		MAOA NFKB1			GPX3 JUNB NFE2L2				GCLC GPX3 MGST1 NFE2L2 TXNRD1				MT1X NQO1						GCLC GPX3 MGST1 NFKB1 NQO1 SOD2			GPX3 MGST1 NFE2L2 NFKB1 SOD2	GCLC JUNB MT1X TXNRD1	FOS GCLC MGST1 MT1X SOD2	GCLC GPX3 MGST1 MT1X NFE2L2 NFKB1 NQO1 SOD2 TXNRD1	MGST1 SOD2	MGST1 MT1X NFE2L2 SOD2 TXNRD1	FOS GCLC GPX3 MGST1 NFE2L2 SOD2	GCLC MGST1 MT1X NFE2L2 SOD2	GPX3 JUNB	GPX3 JUNB MGST1 NQO1 SOD2					GPX3 JUNB MGST1 SOD2	MAOA MT1X	FOS JUNB MGST1 NFE2L2 SOD2		NFE2L2 NQO1 SOD2	GPX3 MT1X NFE2L2 NQO1 SOD2	JUNB TXNRD1	JUNB NQO1 TXNRD1			GPX3 MT1X NFE2L2 NFKB1 TXNRD1							GPX3 MT1X NQO1 TXNRD1				GPX3 MGST1 NFE2L2				NQO1 SOD2						GCLC NFE2L2 SOD2	NFE2L2 SOD2			
Oxidative_phosphorylation				ATP6AP2 MT-ND2 NDUFB6			MT-ATP6 MT-ND2 MT-ND4 MT-ND5	MT-ATP6 MT-ND2 MT-ND4 MT-ND5 NDUFB9																	MT-ATP6 MT-ND4																		MT-ATP6 MT-ND4 MT-ND5	MT-ATP6 MT-ND2 MT-ND4 MT-ND5		MT-ATP6 MT-ND2 MT-ND4 MT-ND5				ATP5G3 ATP6AP2 NDUFB6		ATP5G3 MT-ND2 NDUFB6										MT-ATP6 MT-ND5 NDUFB9				MT-ATP6 MT-ND2 MT-ND4 MT-ND5										MT-ATP6 MT-ND2 MT-ND4 MT-ND5 NDUFB9	ATP5G3 ATP6AP2 NDUFB6 NDUFB9												MT-ATP6 MT-ND2 MT-ND4 MT-ND5							ATP5G3 MT-ND2 NDUFB6 NDUFB9	ATP5G3 NDUFB6	NDUFB6 NDUFB9					ATP5G3 ATP6AP2 MT-ATP6 MT-ND2 MT-ND4 MT-ND5 NDUFB9																		
PPAR_Alpha_Pathway	CCND1 NR1H3											CCND1 DBI NR1H3 PLTP																	CCND1 NR1H3																			CCND1 NR1H3											CCND1 DBI NR1H3									CCND1 NR1H3																																CCND1 DBI NR1H3																					
Parkin-Ubiquitin_Proteasomal_System_pathway						HSPA5 RNF19A SNCA TUBA1A TUBA4A					TUBA1A TUBA1B				CARD16 HSPA8 SNCA TUBA4A				TUBA1A TUBA1B TUBB2A				HSPA5 HSPA8	HSPA5 TUBA1A TUBA1B TUBB4B		HSPA5 HSPA8 RNF19A TUBA1A TUBA1B TUBA4A TUBB4B			HSPA5 HSPA8 TUBA1B TUBA4A	CARD16 TUBB2A TUBB4B UBE2L6	HSPA8 TUBA1A TUBA1B TUBB2A TUBB4B						HSPA8 TUBA1A TUBA1B TUBA4A TUBB4B	CARD16 HSPA5 HSPA8 RNF19A TUBA1B TUBA4A TUBB2A																HSPA5 SNCA TUBA1B					CARD16 HSPA5 HSPA8 TUBA1B TUBA4A TUBB2A	CARD16 CASP1 TUBB2A												CARD16 TUBB2A TUBB4B UBE2L6	HSPA5 HSPA8 SNCA TUBA1B TUBA4A		CARD16 HSPA5 HSPA8 SIAH2 TUBA1B TUBB2A TUBB4B			CARD16 HSPA5 HSPA8 TUBA1A TUBA1B TUBB2A TUBB4B			TUBA1B TUBB2A TUBB4B UBE2L6						HSPA5 HSPA8 RNF19A SIAH2 TUBB4B	CASP1 TUBA1A TUBA1B TUBB2A TUBB4B UBE2L6							SNCA TUBA1A		CARD16 HSPA5				HSPA5 TUBA1A TUBA1B				HSPA8 TUBB2A		HSPA8 TUBA4A TUBB4B		HSPA8 TUBA4A TUBB4B	TUBA1A TUBB4B											HSPA8 TUBA1B TUBB4B
Parkinsons_Disease_Pathway																	CYCS SNCA															CYCS LRRK2 UCHL1																					CYCS LRRK2																																																																				
Pathogenic_Escherichia_coli_infection						CD14 TUBA1A TUBA4A YWHAQ					TUBA1A TUBA1B	ACTB CD14 TUBA4A YWHAQ							TUBA1A TUBA1B TUBB2A					ACTB ACTG1 NCL TUBA1A TUBA1B TUBB4B		ACTG1 NCL TUBA1A TUBA1B TUBA4A TUBB4B YWHAQ			ACTB ACTG1 CD14 TUBA1B TUBA4A YWHAQ	ACTG1 CD14 TUBB2A TUBB4B	ACTB ACTG1 TUBA1A TUBA1B TUBB2A TUBB4B YWHAQ						ACTG1 CD14 TUBA1A TUBA1B TUBA4A TUBB4B YWHAQ	ACTB ACTG1 CD14 NCL TUBA1B TUBA4A TUBB2A YWHAQ	ACTB ACTG1 CD14 TUBA1A								NCL TUBA1A YWHAQ	CD14 CTNNB1 TUBA4A						ACTB NCL TUBA1B		TUBA4A YWHAQ			CD14 TUBA1B TUBA4A TUBB2A YWHAQ			CD14 CTNNB1						TUBA4A YWHAQ	CD14 TUBA1B TUBB2A TUBB4B YWHAQ				ACTB CD14 TUBA1B TUBA4A YWHAQ					ACTB ACTG1 NCL TUBA1A TUBA1B TUBB2A TUBB4B			ACTB ACTG1 TUBA1B TUBB2A TUBB4B		ACTB TUBA1A					ACTB TUBA1A TUBA1B TUBB2A TUBB4B						ACTB ACTG1 TUBA1A	CD14 TUBA1A						ACTG1 NCL TUBA1A TUBA1B				NCL TUBB2A				TUBA4A TUBB4B YWHAQ	ACTB ACTG1 TUBA1A TUBB4B						ACTB ACTG1				CD14 YWHAQ	TUBA1B TUBB4B
Peptide_GPCRs																																																				C5AR1 CCR7 FPR2		C5AR1 CCR7																	CCR7 FPR2																																																		
Phase_I,_non_P450																												CES1 LIPA																																												CES1 LIPA			CES1 LIPA				CES1 LIPA											CES1 LIPA																															
Physiological_and_Pathological_Hypertrophy__of_the_Heart																																																																										FOS JUN																																															
Primary_Focal_Segmental_Glomerulosclerosis_FSGS																						MME PLAUR SCARB2 VIM						CD80 CTNNB1 MME PLAUR VIM	CDKN1A LIMS1 PLAUR YWHAQ																		PLAUR VIM YWHAQ	CDKN1A CTNNB1 LIMS1 PLAUR	CDKN1A PLAUR			CD80 PLAUR SCARB2										CTNNB1 PLAUR SCARB2							CD80 LIMS1 MME PLAUR VIM YWHAQ				CDKN1A LIMS1 PLAUR VIM YWHAQ																									PLAUR SCARB2		CDKN1A PLAUR YWHAQ	LIMS1 PLAUR											LIMS1 SCARB2								CDKN1A YWHAQ	
