	ARID3A	ARID5B	ARNT	ASCL2	ATF3	BATF3	BHLHE41	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	PKNOX1	PLSCR1	SOX4	TCF4	TCF7L2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF143	ZNF75A
Hypoxic_and_oxygen_homeostasis_regulation_of_HIF-1-alpha						PLIN2 TCEB2							BNIP3 CITED2 TCEB2				BNIP3 CXCR4 FOS																CXCR4 TCEB2		HSP90AA1 ID2 TCEB1		
ID																													ATF3 MSC	ID2 ID3					ATF3 ID2		
IFN-gamma_pathway				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD IFNGR1 NUP214 PDCD4 PTPRC RPS27L ZFP36L1		ADM ATF4 BATF3 BNIP3 CCL2 CCL5 CEBPD CSF1R DAPP1 DDIT4 FCGR2B FTH1 GBP3 HCK HIF1A HLA-A ICAM1 IFNGR1 IL1B IL2RA IRF1 IRF7 LYN MAP3K8 MCL1 MMP14 MT2A NBN NCOA4 NFKB1 NFKB2 NFKBIA NR3C1 PCK2 PLAUR PTPN1 PTPRC PVRL2 RIPK2 RNF144B RRAS SKIL SOCS3 SOD2 STAT4 TNIK TXN UBE2D1							ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IL1B IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
IGF1_pathway				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
IL1-mediated_signaling_events					IL1B IL2RA NUP214 STMN1 YWHAQ		HSPB1 LSP1				FKBP1A IL1RN PPARG RAN YWHAQ			BATF3 DUSP1 GBP3 IL1B IL2RA JUNB NFKBIA NUP214 STMN1	CALM1 IL1B IL1RN SLC3A2								CCND1 FKBP1A JUNB PIM1 RAN				BATF3 GBP3 IL1B IL2RA MAP3K8 NFKB1 NFKB2 NFKBIA PTPN1 RIPK2 TXN										
IL12-mediated_signaling_events	HLA-DRA IRF1 STAT1				GADD45G HLA-A HLA-DRA HLA-DRB1 IL1B IL2RA					HLA-A IL18 NFKB2 NFKBIA STAT1		CCL3 CCL4 HLA-DRB1 STAT4		CCL3 CCL4 EBI3 HLA-A HLA-DRB1 IL18 IL1B IL2RA IRF1 NFKBIA STAT4	CCL3 CCL4 IL1B				CCL4 IL1B STAT4								CCL3 CCL4 EBI3 GADD45G HLA-A IL18 IL1B IL27 IL2RA IRF1 NFKB1 NFKB2 NFKBIA RIPK2 STAT2 STAT4							CCL3 CCL4 EBI3 IL1B IL27 IRF1 NFKBIA STAT1			IL18 IL2RA
IL12_signaling_mediated_by_STAT4	HLA-DRA IRF1				HLA-DRA HLA-DRB1 IL2RA							HLA-DRB1 STAT4		HLA-DRB1 IL18 IL2RA IRF1 STAT4													IL18 IL2RA IRF1 STAT4										IL18 IL2RA
IL2-mediated_signaling_events										NFKB2 NFKBIA STAT1																											
IL23-mediated_signaling_events				CCL2 SOCS3 STAT1						IL18 NFKB2 NFKBIA STAT1				IL18 IL1B NFKBIA STAT4	CCL2 IL1B				IL1B STAT4								CCL2 IL18 IL1B NFKB1 NFKB2 NFKBIA RIPK2 SOCS3 STAT4							IL1B NFKBIA STAT1			
IL27-mediated_signaling_events				EBI3 STAT1						IL18 STAT1				EBI3 IL18 IL1B STAT4					IL1B STAT4								EBI3 IL18 IL1B IL27 STAT2 STAT4							EBI3 IL1B IL27 STAT1			
IL2_signaling_events_mediated_by_PI3K										NFKB2 NFKBIA																	IL2RA NFKB1 NFKB2 NFKBIA RIPK2										
IL3-mediated_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IL3RA IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
IL5-mediated_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
IL6-mediated_signaling_events	IRF1 STAT1			SOCS3 STAT1						MCL1 STAT1				CEBPD HCK IRF1 JUNB MCL1			CEBPD FOS					HSP90B1 TIMP1					CEBPD HCK IRF1 MCL1 SOCS3							IRF1 STAT1 TIMP1			
Immune_System	C1QC CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 PSMB9 SQSTM1 XAF1			CD86 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 MT2A PSME2 SOCS3 XAF1	CD14 CTSS CYBB HLA-A IFNGR1 IL1B IL2RA PTAFR TLR2	APBB1IP FYB HCST LY86 PRKACB PSMA7			C1QA CD14 CTSS	AIM2 GBP2 HERC5 HLA-A IFI27 IFIH1 IFIT2 IFITM3 ISG15 MT2A NFKBIA PSMB9 PSME1		C1QA IFI35 IFIT3 MT2A TXN UBE2D1		AIM2 C1QA C1QB C2 CD14 CD80 CFD CSF2RA CTSS GBP2 HERC5 HLA-A IFI6 IFIT3 IFITM1 IFITM3 IL1B IL2RA ISG15 LY86 NFKBIA PSMB9 PSME2 PTAFR TLR2 TXNIP UBE2D1	C1QC CD14 IL1B IL1RN IL3RA TLR2		C1QC CD14 FOS IFI30 IFNGR1 LY86 PTPRC		C1QA IL1B MT2A	IRF7 MT2A RIPK2					CTSS IFNGR1 LY86 PTPRC		AIM2 C1QA C1QB C1QC C2 CD14 CD80 CD86 CSF2RA CYBB DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI27 IFI35 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA IRF7 ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 NFKBIA PSMA4 PSME1 PTAFR PTPN1 PTPRC RIPK2 SOCS3 STAT2 TLR2 TXN UBE2D1		CASP1 CD86 HLA-E HSP90AB1 IFI35 IFI6 IFITM2 IFITM3 IL1RN PSMA4 PSME1 PSME2					CD80 CD86 HLA-E IFI27 IFI6 IFITM1 IFITM3 IL1B IL3RA IRF7 ISG15 LYN MAP3K8 MT2A NFKBIA PSME1 PSME2 PTPN1 TXN XAF1			CD14 IL2RA PTPRC
Inflammasomes											HSP90AB1 PYCARD			AIM2 TXNIP													AIM2 TXN		CASP1 HSP90AB1								
Initial_triggering_of_complement														C1QA C1QB C2 CFD													C1QA C1QB C1QC C2								C1QA C3		
Innate_Immune_System	C1QC CASP1 ISG15								C1QA CD14	AIM2 HERC5 IFIH1 ISG15				AIM2 C1QA C1QB C2 CD14 CFD HERC5 ISG15 LY86 TLR2 TXNIP	C1QC CD14 TLR2		C1QC CD14 FOS LY86			IRF7 RIPK2							AIM2 C1QA C1QB C1QC C2 CD14 DDX58 DHX58 HERC5 IFIH1 IRF7 ISG15 RIPK2 TLR2 TXN						CFD LY86		C1QA C3 HSP90AB1		
Insulin_Pathway				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Integrin-linked_kinase_signaling				ATF4 CCL2 FKBP5 MT2A PLAUR PLIN2 SOCS3 STAT1 TNFRSF4 TNFRSF9										BATF3 CEBPD CXCR4 DUSP1 GBP3 HCK HIF1A HLA-A IL2RA IRF1 JUNB MCL1 MDM2 NCOA4 NUP214 STAT4 STMN1 TNFRSF18 TNFRSF9	CALM1 CCL2 LDHA LIMS1 PLAUR SLC3A2 TIMP1		BNIP3 CEBPD CTNNB1 CXCR4 FABP4 FOS LIMS1 STMN1						BHLHE41 CCND1 CCND2 FKBP1A FKBP5 JUNB MYL9 PIM1 RAN TFRC				ADM ATF4 BATF3 BNIP3 CCL2 CEBPD GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF1 IRF7 MAP3K8 MCL1 MT2A NCOA4 NFKB1 NR3C1 PCK2 PLAUR PTPN1 SKIL SOCS3 STAT4 TNIK TXN							ADM HIF1A ICAM1 IRF1 IRF7 MAP3K8 MT2A NR3C1 PTPN1 STAT1 TIMP1 TNIK TXN			
Integrin_family_cell_surface_interactions				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9					CD14 CDKN1A CLU FCGR2B FTH1 NCOA4 SAT1	ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SAT1 SOD2 STAT1 TNFRSF9		CCL5 CD47 FKBP5 MT2A PARP14 SLA SOD2 STAT4 TXN UBE2D1		BATF3 BTG2 CD14 CEBPD CLU CSF2RA CXCR4 DDIT4 DUSP1 FCGR2A FTH1 GBP3 HCK HIF1A HLA-A IL2RA IRF1 ITGB8 JUNB MCL1 MDK MDM2 MMP7 NCOA4 NFKBIA NUP214 PDCD4 RNF144B RPS27L SAT1 SOD2 STAT4 STMN1 TNFRSF18 TNFRSF9 UBE2D1						ADM FTH1 IRF7 MT2A RIPK2			BHLHE41 CCND1 CCND2 CLU CSF1 CYCS FKBP1A FKBP5 HMGA1 JUNB PIM1 RAN SH3BP5 SPON2 TFRC TGM2		CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1		ADM ATF4 BATF3 BNIP3 CCL2 CCL5 CD14 CD47 CEBPD CSF1R CSF2RA DAPP1 DDIT4 FCGR2A FCGR2B FTH1 GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF1 IRF7 ITGB8 LYN MAP3K8 MCL1 MMP14 MT2A NBN NCOA4 NFKB1 NFKB2 NFKBIA NR3C1 PCK2 PLAUR PTPN1 PTPRC PVRL2 RIPK2 RNF144B RRAS SAT1 SKIL SOCS3 SOD2 STAT4 TGFBI TNIK TXN UBE2D1							ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MDK MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN		CXCR4 MDK SAT1 ZFP36L1	
Integrins_in_angiogenesis																																		CD44 NFKBIA SPP1			
Interferon_Signaling	IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 XAF1		IFI27 IFNGR2	IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 MT2A XAF1	IFNGR1 PTAFR					GBP2 IFI27 IFIT2 IFITM3 ISG15 MT2A		IFI35 IFIT3 MT2A		GBP2 IFI6 IFIT3 IFITM1 IFITM3 ISG15 PTAFR			IFI30 IFNGR1										GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 STAT2		IFI35 IFI6 IFITM2 IFITM3					IFI27 IFI6 IFITM1 IFITM3 ISG15 MT2A PTPN1 XAF1			
Interferon_alpha/beta_signaling	IFI27 IFI35 IFI6 IFIT1 IFIT3 ISG15 XAF1			IFITM1 IFITM2 IFITM3 ISG15 XAF1						GBP2 IFI27 IFIT2 IFITM3 ISG15		IFI35 IFIT3		GBP2 IFI6 IFIT3 IFITM1 IFITM3 ISG15													GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 ISG15 ISG20 PTPN1 STAT2		IFI35 IFI6 IFITM2 IFITM3					IFI27 IFI6 IFITM1 IFITM3 ISG15 PTPN1 XAF1			
Interferon_gamma_signaling				IFNGR2 MT2A	IFNGR1 PTAFR												IFI30 IFNGR1										IFNGR1 IFNGR2 MT2A PTAFR										
Interleukin-1_signaling															IL1B IL1RN												IL1B MAP3K8 NFKB1							IL1B MAP3K8			
Interleukin-3,_5_and_GM-CSF_signaling		CSF2RA PRKACB																																			
Internalization_of_ErbB1				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Intrinsic_Pathway_for_Apoptosis																													BID PMAIP1 VIM								
JNK_signaling_in_the_CD4+_TCR_pathway														BATF3 IL2RA JUNB									FKBP1A JUNB						CALM1 JUNB								
KitReceptor																																		LYN MATK STAT1			
L1CAM_interactions											NUMB STIP1					APBB1IP NUMB																					
LKB1_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Late_Phase_of_HIV_Life_Cycle								RAN TCEB1 TCEB2																													
Leukotriene_synthesis																ALOX5 LTA4H	ALOX5 LTA4H																				
Lipid_digestion,_mobilization,_and_transport											LPL MGLL																										
Loss_of_Nlp_from_mitotic_centrosomes															TUBA1A TUBB																				HSP90AA1 TUBA4A TUBB		
Loss_of_proteins_required_for_interphase_microtubule_organizationÃÂ from_the_centrosome															TUBA1A TUBB																				HSP90AA1 TUBA4A TUBB		
M/G1_Transition																													PSMA4 PSME1 PSME2								
M_Phase																																			HSP90AA1 TUBA4A TUBB		
Metabolism						ACP5 ALDH1A1 CYP27A1 GCHFR GCLC IDH2 NDUFB9 PSMA7		ACP5 COX5B FAH GCHFR GCLC HSPB1 IDH2 NDUFB6 NDUFB9 PSMA7 QPRT					ALDH1A1 CDA CYP1B1 CYP27A1 GLRX NQO1 SAT1 SULT1A1 ZFP36L1			ACP5 CDA GCLC IDH2 MT-ATP6 MT-CO3 MT-CYB MT-ND4 QPRT TBXAS1		CYB5A QPRT SULT1A1 TBXAS1						ACP5 ALDH1A1 CYP27A1 MT-ATP6 MT-CO3 MT-CYB MT-ND5 NDUFB9 TBXAS1				MT-ATP6 MT-CO3 MT-CYB MT-ND2 MT-ND4 MT-ND5 NDUFB9				CDA COX5B NDUFB6 NDUFB9	ACP5 ALDH1A1 CYP27A1 GCHFR ZFP36L1				
Metabolism_of_amino_acids_and_derivatives	FAH NQO1 PSMB9									DLD FAH IDO1 PSMB9 PSME1 SAT1		GLUL KYNU UBE2D1		ADI1 APIP GLUL IDO1 PSMB9 PSME2 SAT1 UBE2D1					ADI1 SAT1								ADI1 APIP DLD GLUL IDO1 KYNU NQO1 PSMA4 PSME1 SAT1 UBE2D1		ASNS PSMA4 PSME1 PSME2								
Metabolism_of_lipids_and_lipoproteins											ACOX2 EBP LBR LPL MGLL SQLE					ALOX5 FABP4 GPD1 LBR LTA4H TBXAS1 TECR								CYP27A1 DPEP2 TBXAS1 TECR						EBP GPD1 TECR	ACOX2 LPL SQLE						
Metabolism_of_nucleotides													CDA GLRX																								
Metabolism_of_polyamines														ADI1 APIP SAT1					ADI1 SAT1								ADI1 APIP SAT1										
Metabolism_of_steroid_hormones_and_vitamins_A_and_D			HSD11B1 LGMN																																		
Metabolism_of_vitamins_and_cofactors								ACP5 QPRT								ACP5 QPRT		CYB5A QPRT																			
Metabolism_of_water-soluble_vitamins_and_cofactors								ACP5 QPRT								ACP5 QPRT		CYB5A QPRT																			
Methionine_salvage_pathway														ADI1 APIP													ADI1 APIP										
Mitotic_G1-G1/S_phases																													CDKN1A PSMA4 PSME1 PSME2								
Mitotic_G2-G2/M_phases																																			HSP90AA1 TUBA4A TUBB		
Mitotic_Prophase															TUBA1A TUBB																				HSP90AA1 TUBA4A TUBB		
Muscle_contraction																													CALM1 VIM								
N-cadherin_signaling_events															CALM1 PLAUR SDC2 SPP1																						
NF-kB_is_activated_and_signals_survival																											NFKB1 NFKBIA										
Nectin_adhesion_pathway				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Negative_regulators_of_RIG-I/MDA5_signaling										HERC5 ISG15				HERC5 ISG15													DDX58 HERC5 ISG15										
Noncanonical_Wnt_signaling_pathway																														CCND2 ID2 PPARG							
Nucleotide-binding_domain,_leucine_rich_repeat_containing_receptor_(NLR)_signaling_pathways											HSP90AB1 PYCARD																AIM2 DDX58 RIPK2 TXN		CASP1 HSP90AB1								
Nucleotide_Excision_Repair																							ERCC1 XPC														
Orc1_removal_from_chromatin																													PSMA4 PSME1 PSME2								
Osteopontin-mediated_events											GSN SPP1																CD44 NFKB1 NFKBIA							CD44 NFKBIA SPP1			
PAR1-mediated_thrombin_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
PDGFR-beta_signaling_pathway				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
PDGF_receptor_signaling_network				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
PERK_regulated_gene_expression																													ASNS ATF3 ATF4 HSPA5								
Pausing_and_recovery_of_HIV-1_elongation								TCEB1 TCEB2																													
Pausing_and_recovery_of_Tat-mediated_HIV-1_elongation								TCEB1 TCEB2																													
Pausing_and_recovery_of_elongation								TCEB1 TCEB2																													
Peptide_ligand-binding_receptors					C3AR1 CCL20 FPR2					CCL5 CCR7 GAL					C5AR1 CCL20												C3AR1 CCL20 CCL5 CCR7 FPR1 FPR2							CCL20 CCL5 FPR2			
Phase_1_-_Functionalization_of_compounds					ALDH2 CYP27A1	ALDH1A1 CYP27A1							ALDH1A1 CYP1B1 CYP27A1											ALDH1A1 CYP27A1 TBXAS1									ALDH1A1 CYP27A1				
Plasma_membrane_estrogen_receptor_signaling				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
Presenilin_action_in_Notch_and_Wnt_signaling																	CTNNB1 FOS																				
Prostanoid_metabolism																ALOX5 LTA4H TBXAS1	ALOX5 LTA4H							DPEP2 TBXAS1													
Proteoglycan_syndecan-mediated_signaling_events				ATF4 BID BTG2 CCL2 FKBP5 MT2A NBN PLAUR PLIN2 SLA SOCS3 SOD2 STAT1 TNFRSF4 TNFRSF9						ADM CCL5 CLU EIF2AK2 FTH1 GBP3 HLA-A MCL1 MMP7 MT2A NFKB2 NFKBIA SOD2 STAT1 TNFRSF9										ADM FTH1 IRF7 MT2A RIPK2					CSF1R CTSD NUP214 PDCD4 PTPRC RPS27L ZFP36L1									ADM CCL5 CD82 CFLAR FTH1 HIF1A ICAM1 IRF1 IRF7 LYN MAP3K8 MDK MMP7 MT2A NFKBIA NR3C1 POU2F2 PTPN1 PVRL2 SLA SPP1 STAT1 TIMP1 TNIK TXN			
RIG-I/MDA5_mediated_induction_of_IFN-alpha/beta_pathways										HERC5 IFIH1 ISG15																	DDX58 DHX58 HERC5 IFIH1 IRF7 ISG15							IRF7 ISG15			
RNA_Polymerase_II_Pre-transcription_Events								TCEB1 TCEB2																													
RNA_Polymerase_II_Transcription_Elongation								TCEB1 TCEB2																													
Ras_signaling_in_the_CD4+_TCR_pathway														BATF3 IL2RA JUNB									FKBP1A JUNB				BATF3 IL2RA MAP3K8		CALM1 JUNB								
Recruitment_of_mitotic_centrosome_proteins_and_complexes															TUBA1A TUBB																				HSP90AA1 TUBA4A TUBB		
Recycling_pathway_of_L1																APBB1IP NUMB																					
Regulation_of_APC/C_activators_between_G1/S_and_early_anaphase																													PSMA4 PSME1 PSME2								
Regulation_of_Apoptosis																													PSMA4 PSME1 PSME2								
Regulation_of_CDC42_activity				ATF4 CCL2 FKBP5 MT2A PLAUR PLIN2 SOCS3 STAT1 TNFRSF4 TNFRSF9																			BHLHE41 CCND1 CCND2 FKBP1A FKBP5 JUNB NCF2 PIM1 RAN TFRC				ADM ATF4 BATF3 BNIP3 CCL2 CEBPD CYBB GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF1 IRF7 MAP3K8 MCL1 MT2A NCF1 NCOA4 NFKB1 NR3C1 PCK2 PLAUR PTPN1 SKIL SOCS3 STAT4 TNIK TXN							ADM HIF1A ICAM1 IRF1 IRF7 MAP3K8 MT2A NCF1 NCF2 NR3C1 PTPN1 STAT1 TIMP1 TNIK TXN			
Regulation_of_DNA_replication																													PSMA4 PSME1 PSME2								
Regulation_of_IFNA_signaling																											PTPN1 STAT2										
Regulation_of_IFNG_signaling																											IFNGR1 IFNGR2										
Regulation_of_activated_PAK-2p34_by_proteasome_mediated_degradation										PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Regulation_of_cytoplasmic_and_nuclear_SMAD2/3_signaling							HSPB1 LSP1																CCND1 FKBP1A JUNB PIM1 RAN														
Regulation_of_mRNA_Stability_by_Proteins_that_Bind_AU-rich_Elements																									NUP214 ZFP36L1				PSMA4 PSME1 PSME2								
Regulation_of_mitotic_cell_cycle																													PSMA4 PSME1 PSME2								
Regulation_of_nuclear_SMAD2/3_signaling							HSPB1 LSP1																CCND1 FKBP1A JUNB PIM1 RAN														
Regulation_of_nuclear_beta_catenin_signaling_and_target_gene_transcription																														CCND2 ID2							
Regulation_of_ornithine_decarboxylase_(ODC)	NQO1 PSMB9									PSMB9 PSME1																			PSMA4 PSME1 PSME2								
Regulation_of_p38-alpha_and_p38-beta							HSPB1 LSP1	FKBP1A HSPB1 LSP1 RAN			FKBP1A PPARG RAN YWHAQ			BATF3 DUSP1 GBP3 IL2RA JUNB NUP214									FKBP1A JUNB PIM1 RAN														
Removal_of_licensing_factors_from_origins																													PSMA4 PSME1 PSME2								
